Company,Date,Market Cap
KMX,2010-03-31,5600000000.0
KMX,2010-06-30,4450000000.0
KMX,2010-09-30,6260000000.0
KMX,2010-12-31,7190000000.0
KMX,2011-03-31,7250000000.0
KMX,2011-06-30,7480000000.0
KMX,2011-09-30,5400000000.0
KMX,2011-12-31,6910000000.0
KMX,2012-03-31,7870000000.0
KMX,2012-06-30,5920000000.0
KMX,2012-09-30,6480000000.0
KMX,2012-12-31,8570000000.0
KMX,2013-03-31,9360000000.0
KMX,2013-05-31,10480000000.0
KMX,2013-06-30,10320000000.0
KMX,2013-09-30,10830000000.0
KMX,2013-11-30,11370000000.0
KMX,2013-12-31,10500000000.0
KMX,2014-02-28,10740000000.0
KMX,2014-03-31,10330000000.0
KMX,2014-06-30,11400000000.0
KMX,2014-09-30,10010000000.0
KMX,2014-12-31,13980000000.0
KMX,2015-03-31,14350000000.0
KMX,2015-06-30,13770000000.0
KMX,2015-09-30,12020000000.0
KMX,2015-12-31,10560000000.0
KMX,2016-03-31,9900000000.0
KMX,2016-06-30,9390000000.0
KMX,2016-09-30,10150000000.0
KMX,2016-12-30,12050000000.0
KMX,2017-03-31,11000000000.0
KMX,2017-06-30,11560000000.0
KMX,2017-09-29,13820000000.0
KMX,2017-12-29,11600000000.0
KMX,2018-03-31,11070000000.0
KMX,2018-06-29,12870000000.0
KMX,2018-09-28,13040000000.0
KMX,2018-12-31,10670000000.0
KMX,2019-03-31,11600000000.0
KMX,2019-06-03,13150000000.0
KMX,2019-09-30,14470000000.0
KMX,2019-12-31,14320000000.0
KMX,2020-03-31,8750000000.0
KMX,2020-06-29,14510000000.0
KMX,2020-09-30,15080000000.0
KMX,2020-12-31,15350000000.0
KMX,2021-03-31,21650000000.0
KMX,2021-06-24,19460000000.0
KMX,2021-09-29,23740000000.0
KMX,2021-12-31,21060000000.0
KMX,2022-06-23,14610000000.0
KMX,2023-01-04,10290000000.0
KMX,2023-04-11,11420000000.0
KMX,2023-06-22,12390000000.0
KMX,2023-09-27,12640000000.0
KMX,2024-01-03,11450000000.0
KMX,2024-06-25,11200000000.0
KMX,2024-09-25,11540000000.0
KMX,2025-01-03,12310000000.0
