Company,Date,Market Cap
KO,2010-02-22,127660000000.0
KO,2010-04-26,123960000000.0
KO,2010-07-26,126880000000.0
KO,2010-10-25,141670000000.0
KO,2011-02-22,146290000000.0
KO,2011-04-26,153220000000.0
KO,2011-07-26,158870000000.0
KO,2011-10-24,154150000000.0
KO,2012-02-20,156270000000.0
KO,2012-04-23,166390000000.0
KO,2012-07-23,173050000000.0
KO,2012-08-13,176930000000.0
KO,2012-10-22,166980000000.0
KO,2013-02-25,168110000000.0
KO,2013-04-22,190260000000.0
KO,2013-07-22,181050000000.0
KO,2013-10-21,171430000000.0
KO,2014-02-24,165220000000.0
KO,2014-04-21,179100000000.0
KO,2014-07-25,179820000000.0
KO,2014-10-24,179720000000.0
KO,2015-02-23,182730000000.0
KO,2015-04-27,177970000000.0
KO,2015-07-27,176350000000.0
KO,2015-10-26,185220000000.0
KO,2016-02-22,190240000000.0
KO,2016-04-25,193420000000.0
KO,2016-07-25,196680000000.0
KO,2016-10-24,183560000000.0
KO,2017-02-21,178010000000.0
KO,2017-04-24,184920000000.0
KO,2017-07-24,191260000000.0
KO,2017-10-23,197350000000.0
KO,2018-02-16,191880000000.0
KO,2018-04-27,184300000000.0
KO,2018-07-23,191170000000.0
KO,2018-10-26,195460000000.0
KO,2019-02-15,193420000000.0
KO,2019-04-22,202210000000.0
KO,2019-07-22,219020000000.0
KO,2019-07-28,120920000.0
KO,2019-10-21,232350000000.0
KO,2020-02-19,256430000000.0
KO,2020-04-21,194900000000.0
KO,2020-07-20,198110000000.0
KO,2020-10-19,213240000000.0
KO,2021-02-22,218180000000.0
KO,2021-04-23,234860000000.0
KO,2021-07-22,243760000000.0
KO,2021-10-25,234240000000.0
KO,2022-02-18,271140000000.0
KO,2022-04-26,281990000000.0
KO,2022-07-25,268950000000.0
KO,2022-10-24,248960000000.0
KO,2023-02-17,260120000000.0
KO,2023-04-24,276560000000.0
KO,2023-07-25,1830000000.0
KO,2023-10-20,235930000000.0
KO,2024-04-30,266100000000.00003
KO,2024-07-25,284750000000.0
KO,2024-10-22,299180000000.0
