Company,Date,Market Cap
KR,2010-03-26,13710000000.0
KR,2010-06-25,12990000000.0
KR,2010-09-17,13900000000.0
KR,2010-12-10,13130000000.0
KR,2011-03-25,14710000000.0
KR,2011-06-17,14520000000.0
KR,2011-09-09,13150000000.0
KR,2011-12-09,13760000000.0
KR,2012-03-23,13690000000.0
KR,2012-06-22,12470000000.0
KR,2012-09-14,12560000000.0
KR,2012-12-07,13900000000.0
KR,2013-03-29,17260000000.0
KR,2013-06-21,17500000000.0
KR,2013-09-20,21210000000.0
KR,2013-12-11,20850000000.0
KR,2014-03-28,22450000000.0
KR,2014-06-27,24410000000.0
KR,2014-09-19,25610000000.0
KR,2014-12-12,30240000000.0
KR,2015-03-27,72790000000.0
KR,2015-06-26,35510000000.0
KR,2015-07-14,37110000000.0
KR,2015-09-18,35750000000.0
KR,2015-12-15,41240000000.0
KR,2016-03-23,36180000000.0
KR,2016-06-22,32470000000.0
KR,2016-09-14,29000000000.0
KR,2016-12-07,31550000000.0
KR,2017-03-22,26480000000.0
KR,2017-06-21,20070000000.0
KR,2017-09-11,18980000000.0
KR,2017-12-04,23690000000.0
KR,2018-03-29,20450000000.0
KR,2018-06-26,23100000000.0
KR,2018-09-20,23270000000.0
KR,2018-12-12,23730000000.0
KR,2019-03-28,19510000000.0
KR,2019-06-25,17450000000.0
KR,2019-09-18,20220000000.0
KR,2019-08-19,170240000.0
KR,2019-12-11,22430000000.0
KR,2020-03-25,21730000000.0
KR,2020-06-23,24970000000.0
KR,2020-09-15,25340000000.0
KR,2020-12-08,23830000000.0
KR,2021-03-24,26850000000.0
KR,2021-06-22,29760000000.0
KR,2021-09-13,31890000000.0
KR,2021-12-07,33140000000.0
KR,2022-03-23,40830000000.0
KR,2022-06-21,34630000000.0
KR,2022-12-06,33159999999.999996
KR,2023-03-22,34470000000.0
KR,2023-06-20,32890000000.0
KR,2023-09-12,32860000000.0
KR,2023-12-05,32020000000.000004
KR,2024-03-27,41060000000.0
KR,2024-06-25,35960000000.0
KR,2024-09-17,39820000000.0
KR,2024-12-10,43940000000.0
