Company,Date,Market Cap
LDOS,2013-09-27,1370000000.0
LDOS,2013-11-26,4179999999.9999995
LDOS,2014-08-29,2790000000.0
LDOS,2014-11-24,2980000000.0
LDOS,2015-03-16,3270000000.0
LDOS,2015-05-04,3140000000.0
LDOS,2015-10-20,3260000000.0
LDOS,2016-02-17,3190000000.0
LDOS,2016-04-20,3750000000.0
LDOS,2016-07-19,3540000000.0
LDOS,2016-10-25,6280000000.0
LDOS,2017-02-14,7680000000.0
LDOS,2017-04-25,8029999999.999999
LDOS,2017-07-25,8150000000.0
LDOS,2017-10-24,9260000000.0
LDOS,2018-02-13,9790000000.0
LDOS,2018-04-24,9960000000.0
LDOS,2018-07-17,9570000000.0
LDOS,2018-10-16,10130000000.0
LDOS,2019-02-11,9050000000.0
LDOS,2019-04-22,9430000000.0
LDOS,2019-07-22,11440000000.0
LDOS,2019-10-21,11440000000.0
LDOS,2020-02-10,15640000000.0
LDOS,2020-04-27,14600000000.0
LDOS,2020-07-27,12820000000.0
LDOS,2020-10-26,11880000000.0
LDOS,2021-02-15,15300000000.0
LDOS,2021-04-26,14120000000.0
LDOS,2021-07-26,15070000000.0
LDOS,2021-10-25,14290000000.0
LDOS,2022-02-08,12140000000.0
LDOS,2022-04-26,14570000000.0
LDOS,2022-07-26,14130000000.0
LDOS,2022-10-25,13300000000.0
LDOS,2023-02-07,13560000000.0
LDOS,2023-07-25,12670000000.0
LDOS,2023-10-24,12510000000.0
LDOS,2024-02-06,15230000000.0
LDOS,2024-04-23,17400000000.0
LDOS,2024-07-23,20870000000.0
LDOS,2024-10-22,22360000000.0
