Company,Date,Market Cap
LII,2010-02-08,2290000000.0
LII,2010-04-27,2560000000.0
LII,2010-07-22,2450000000.0
LII,2010-10-19,2270000000.0
LII,2011-02-07,2780000000.0
LII,2011-04-21,2830000000.0
LII,2011-07-21,2210000000.0
LII,2011-10-20,1440000000.0
LII,2012-02-08,1980000000.0
LII,2012-04-19,1920000000.0
LII,2012-07-19,2390000000.0
LII,2012-10-18,2430000000.0
LII,2013-02-08,2940000000.0
LII,2013-04-18,3030000000.0
LII,2013-06-30,3220000000.0
LII,2013-10-17,3660000000.0
LII,2014-02-07,4240000000.0
LII,2014-04-17,4390000000.0
LII,2014-07-17,4170000000.0
LII,2014-10-16,3660000000.0
LII,2015-02-06,4520000000.0
LII,2015-04-16,5060000000.0
LII,2015-06-30,4850000000.0
LII,2015-10-15,5310000000.0
LII,2016-02-04,5280000000.0
LII,2016-04-15,6140000000.0
LII,2016-07-15,6430000000.0
LII,2016-10-14,6790000000.0
LII,2017-02-09,7050000000.0
LII,2017-04-14,7050000000.0
LII,2017-07-14,7750000000.0
LII,2017-10-19,7490000000.0
LII,2018-02-09,8160000000.0
LII,2018-04-13,8199999999.999999
LII,2018-07-13,8660000000.0
LII,2018-10-18,7940000000.0
LII,2019-02-08,9300000000.0
LII,2019-04-12,10730000000.0
LII,2019-07-12,11210000000.0
LII,2019-10-11,9180000000.0
LII,2020-02-07,9090000000.0
LII,2020-04-13,7520000000.0
LII,2020-07-10,9130000000.0
LII,2020-10-09,10850000000.0
LII,2021-02-05,10350000000.0
LII,2021-04-16,12620000000.0
LII,2021-07-16,11820000000.0
LII,2021-10-15,11310000000.0
LII,2022-02-04,9780000000.0
LII,2022-07-15,7660000000.0
LII,2022-10-14,7600000000.0
LII,2023-02-03,9750000000.0
LII,2023-04-17,8890000000.0
LII,2023-07-14,11940000000.0
LII,2023-10-16,13410000000.0
LII,2024-02-06,15130000000.0
LII,2024-04-15,16460000000.0
LII,2024-10-14,21610000000.0
