Company,Date,Market Cap
LIN,2018-10-31,91180000000.0
LIN,2019-02-28,94400000000.0
LIN,2019-04-30,97840000000.0
LIN,2019-07-31,103400000000.0
LIN,2019-10-31,106550000000.0
LIN,2020-01-31,108260000000.0
LIN,2020-04-30,96630000000.0
LIN,2020-06-30,111430000000.0
LIN,2020-09-30,124980000000.0
LIN,2021-01-31,128300000000.00002
LIN,2021-03-31,145730000000.0
LIN,2021-06-30,149290000000.0
LIN,2021-09-30,150370000000.0
LIN,2022-01-31,161810000000.0
LIN,2022-03-31,160760000000.0
LIN,2022-06-30,143300000000.0
LIN,2022-09-30,133280000000.0
LIN,2023-03-31,174260000000.0
LIN,2023-06-30,185950000000.0
LIN,2023-09-30,180550000000.0
LIN,2023-11-07,188770000000.0
LIN,2024-01-31,194960000000.0
LIN,2024-03-31,223190000000.0
LIN,2024-06-30,209530000000.0
LIN,2024-09-30,227060000000.0
