Company,Date,Market Cap
LKQ,2010-02-19,2680000000.0
LKQ,2010-04-23,3060000000.0
LKQ,2010-07-23,3000000000.0
LKQ,2010-10-22,3170000000.0
LKQ,2011-02-18,3800000000.0
LKQ,2011-04-22,3500000000.0
LKQ,2011-07-22,3900000000.0
LKQ,2011-10-21,4150000000.0000005
LKQ,2012-02-17,4760000000.0
LKQ,2012-04-20,4480000000.0
LKQ,2012-07-20,5160000000.0
LKQ,2012-09-19,5550000000.0
LKQ,2012-10-19,6070000000.0
LKQ,2013-02-22,6710000000.0
LKQ,2013-04-19,6180000000.0
LKQ,2013-07-26,7860000000.0
LKQ,2013-10-25,9990000000.0
LKQ,2014-02-21,8900000000.0
LKQ,2014-04-25,8039999999.999999
LKQ,2014-07-25,7670000000.0
LKQ,2014-10-24,8250000000.0
LKQ,2015-02-20,8330000000.0
LKQ,2015-04-24,7780000000.0
LKQ,2015-07-24,9420000000.0
LKQ,2015-10-23,8640000000.0
LKQ,2016-02-19,8060000000.000001
LKQ,2016-04-22,10200000000.0
LKQ,2016-07-22,10240000000.0
LKQ,2016-10-21,10110000000.0
LKQ,2017-02-17,9840000000.0
LKQ,2017-04-21,8940000000.0
LKQ,2017-07-21,10350000000.0
LKQ,2017-10-20,11540000000.0
LKQ,2018-02-16,12930000000.0
LKQ,2018-04-27,9800000000.0
LKQ,2018-07-27,10800000000.0
LKQ,2018-10-24,8170000000.0
LKQ,2019-02-22,8600000000.0
LKQ,2019-04-22,9610000000.0
LKQ,2019-07-26,8550000000.000001
LKQ,2019-10-25,9690000000.0
LKQ,2020-02-21,10150000000.0
LKQ,2020-05-01,7540000000.0
LKQ,2020-07-30,8890000000.0
LKQ,2020-10-29,9640000000.0
LKQ,2021-02-21,11770000000.0
LKQ,2021-04-30,14110000000.0
LKQ,2021-07-30,14910000000.0
LKQ,2021-10-29,16059999999.999998
LKQ,2022-02-18,14010000000.0
LKQ,2022-04-29,14040000000.0
LKQ,2022-07-26,14310000000.0
LKQ,2022-10-27,14670000000.0
LKQ,2023-02-17,15710000000.0
LKQ,2023-04-21,15130000000.0
LKQ,2023-07-21,15250000000.0
LKQ,2023-10-20,12980000000.0
LKQ,2024-02-16,13340000000.0
LKQ,2024-04-16,12920000000.0
LKQ,2024-07-19,11870000000.0
LKQ,2024-10-18,10220000000.0
