Company,Date,Market Cap
LMT,2010-01-31,27980000000.0
LMT,2010-03-28,31250000000.0
LMT,2010-06-27,28290000000.0
LMT,2010-09-26,26340000000.0
LMT,2011-01-31,27850000000.0
LMT,2011-03-27,27910000000.0
LMT,2011-06-26,26580000000.0
LMT,2011-09-25,23330000000.0
LMT,2012-01-31,26760000000.0
LMT,2012-03-25,29140000000.0
LMT,2012-06-24,27690000000.0
LMT,2012-09-30,30220000000.0
LMT,2013-01-31,28020000000.0
LMT,2013-03-31,30930000000.0
LMT,2013-06-30,34810000000.0
LMT,2013-09-29,41400000000.0
LMT,2014-01-31,48510000000.0
LMT,2014-03-30,50950000000.0
LMT,2014-06-29,51640000000.0
LMT,2014-09-28,57370000000.0
LMT,2015-01-23,62310000000.0
LMT,2015-03-29,63650000000.0
LMT,2015-06-28,58580000000.0
LMT,2015-09-27,62650000000.0
LMT,2016-01-29,64459999999.99999
LMT,2016-03-27,66370000000.00001
LMT,2016-06-26,72610000000.0
LMT,2016-09-25,72030000000.0
LMT,2017-01-27,73600000000.0
LMT,2017-03-26,77400000000.0
LMT,2017-06-25,80820000000.0
LMT,2017-09-24,88470000000.0
LMT,2018-01-26,98490000000.0
LMT,2018-03-25,96030000000.0
LMT,2018-06-24,85260000000.0
LMT,2018-09-30,98400000000.0
LMT,2019-01-25,81110000000.0
LMT,2019-03-31,84810000000.0
LMT,2019-06-30,102660000000.0
LMT,2019-10-18,105070000000.0
LMT,2020-01-31,120700000000.0
LMT,2020-04-17,112600000000.0
LMT,2020-07-14,99420000000.0
LMT,2020-10-15,108030000000.0
LMT,2021-01-22,95200000000.0
LMT,2021-04-16,108900000000.0
LMT,2021-07-20,105220000000.0
LMT,2021-10-20,102350000000.0
LMT,2022-01-19,102760000000.0
LMT,2022-07-15,105630000000.0
LMT,2022-10-14,102050000000.0
LMT,2023-01-20,113170000000.0
LMT,2023-04-14,123580000000.0
LMT,2023-07-14,116930000000.0
LMT,2023-10-13,109430000000.0
LMT,2024-01-19,110610000000.0
LMT,2024-04-19,111300000000.0
LMT,2024-07-19,113200000000.0
LMT,2024-10-18,145020000000.0
LMT,2025-01-23,117050000000.0
