Company,Date,Market Cap
LNT,2010-01-29,3450000000.0
LNT,2010-04-30,3790000000.0
LNT,2010-06-30,3520000000.0
LNT,2010-09-30,4030000000.0000005
LNT,2011-01-31,4120000000.0
LNT,2011-03-31,4320000000.0
LNT,2011-06-30,4510000000.0
LNT,2011-09-30,4290000000.0
LNT,2012-01-31,4710000000.0
LNT,2012-03-31,4810000000.0
LNT,2012-06-30,5060000000.0
LNT,2012-09-30,4820000000.0
LNT,2013-01-31,5090000000.0
LNT,2013-03-31,5570000000.0
LNT,2013-06-30,5590000000.0
LNT,2013-09-30,5500000000.0
LNT,2014-01-31,5760000000.0
LNT,2014-03-31,6300000000.0
LNT,2014-06-30,6750000000.0
LNT,2014-09-30,6150000000.0
LNT,2015-01-30,7610000000.0
LNT,2015-03-31,7120000000.0
LNT,2015-06-30,6540000000.0
LNT,2015-09-30,6630000000.0
LNT,2016-01-29,7410000000.0
LNT,2016-03-31,8439999999.999999
LNT,2016-05-20,8160000000.0
LNT,2016-06-30,9030000000.0
LNT,2016-09-30,8720000000.0
LNT,2017-01-31,8570000000.0
LNT,2017-03-31,9020000000.0
LNT,2017-06-30,9280000000.0
LNT,2017-09-30,9610000000.0
LNT,2018-01-31,9200000000.0
LNT,2018-03-31,9460000000.0
LNT,2018-06-30,9890000000.0
LNT,2018-09-30,10040000000.0
LNT,2018-12-31,9970000000.0
LNT,2019-01-31,10500000000.0
LNT,2019-03-31,11190000000.0
LNT,2019-06-30,11660000000.0
LNT,2018-07-31,143830000.0
LNT,2019-09-30,12960000000.0
LNT,2020-01-31,14550000000.0
LNT,2024-03-31,12920000000.0
LNT,2024-06-30,13060000000.0
LNT,2024-09-30,15570000000.0
