Company,Date,Market Cap
LOW,2010-03-26,35330000000.0
LOW,2010-05-28,35370000000.0
LOW,2010-08-27,29610000000.0
LOW,2010-11-26,30690000000.0
LOW,2011-03-25,35850000000.0
LOW,2011-05-27,31580000000.0
LOW,2011-08-26,25510000000.0
LOW,2011-11-25,28410000000.0
LOW,2012-03-30,37620000000.0
LOW,2012-06-01,31020000000.0
LOW,2012-08-31,32479999999.999996
LOW,2012-11-30,40590000000.0
LOW,2013-03-28,41280000000.0
LOW,2013-05-31,45160000000.0
LOW,2013-08-30,48190000000.0
LOW,2013-11-29,49660000000.0
LOW,2014-03-28,49840000000.0
LOW,2014-05-30,46950000000.0
LOW,2014-08-29,51830000000.0
LOW,2014-11-28,62100000000.0
LOW,2015-03-27,70110000000.0
LOW,2015-05-29,65269999999.99999
LOW,2015-08-28,63330000000.0
LOW,2015-11-27,70770000000.0
LOW,2016-03-24,67099999999.99999
LOW,2016-05-27,71200000000.0
LOW,2016-08-26,67260000000.00001
LOW,2016-11-25,62810000000.0
LOW,2017-03-31,70480000000.0
LOW,2017-06-02,67720000000.0
LOW,2017-09-01,62170000000.0
LOW,2017-12-01,69890000000.0
LOW,2018-03-29,72460000000.0
LOW,2018-06-01,78210000000.0
LOW,2018-08-31,87900000000.0
LOW,2018-11-30,75780000000.0
LOW,2019-03-29,87130000000.0
LOW,2019-05-29,72990000000.0
LOW,2019-08-30,86600000000.0
LOW,2019-11-29,89920000000.0
LOW,2020-03-13,72840000000.0
LOW,2020-08-24,125170000000.0
LOW,2020-11-23,112600000000.0
LOW,2021-03-19,128740000000.00002
LOW,2021-05-25,136440000000.0
LOW,2021-08-24,140830000000.0
LOW,2021-11-22,170020000000.0
LOW,2022-03-17,155060000000.0
LOW,2022-05-24,118000000000.0
LOW,2022-08-23,128780000000.0
LOW,2022-11-21,127150000000.0
LOW,2023-03-23,113120000000.0
LOW,2023-05-30,120540000000.0
LOW,2023-08-28,128539999999.99998
LOW,2023-11-27,114920000000.0
LOW,2024-03-21,149340000000.0
LOW,2024-08-27,141010000000.0
LOW,2024-11-27,154260000000.0
