Company,Date,Market Cap
LUV,2010-01-26,8630000000.0
LUV,2010-04-20,10230000000.0
LUV,2010-07-27,8950000000.0
LUV,2010-10-19,9480000000.0
LUV,2011-02-02,8650000000.0
LUV,2011-04-20,8700000000.0
LUV,2011-08-03,7760000000.0
LUV,2011-10-19,6780000000.0
LUV,2012-02-03,7760000000.0
LUV,2012-04-23,6050000000.0
LUV,2012-07-23,6470000000.0
LUV,2012-10-24,6460000000.0
LUV,2013-02-04,8140000000.000001
LUV,2013-04-30,9900000000.0
LUV,2013-07-29,9680000000.0
LUV,2013-10-28,11910000000.0
LUV,2014-01-30,14900000000.0
LUV,2014-04-28,16489999999.999998
LUV,2014-07-28,20010000000.0
LUV,2014-10-27,23110000000.0
LUV,2015-02-04,30180000000.0
LUV,2015-04-28,27990000000.0
LUV,2015-07-29,23420000000.0
LUV,2015-10-27,29570000000.0
LUV,2016-01-29,24000000000.0
LUV,2016-04-26,29490000000.0
LUV,2016-07-25,23170000000.0
LUV,2016-10-26,23640000000.0
LUV,2017-02-03,32530000000.0
LUV,2017-05-01,34030000000.0
LUV,2017-07-27,33860000000.0
LUV,2017-10-30,32479999999.999996
LUV,2018-02-05,33509999999.999996
LUV,2018-04-27,31040000000.0
LUV,2018-07-30,33180000000.0
LUV,2018-10-26,27880000000.0
LUV,2019-02-01,31580000000.0
LUV,2019-04-26,28770000000.0
LUV,2019-07-26,28620000000.0
LUV,2019-11-06,30450000000.0
LUV,2020-01-30,28880000000.0
LUV,2020-04-24,14930000000.0
LUV,2020-07-23,19340000000.0
LUV,2020-10-23,25260000000.0
LUV,2021-02-04,29020000000.0
LUV,2021-04-23,36390000000.0
LUV,2021-07-23,30000000000.0
LUV,2021-10-22,28190000000.0
LUV,2022-02-02,26230000000.0
LUV,2022-04-28,27810000000.0
LUV,2022-07-28,22640000000.0
LUV,2022-10-27,20950000000.0
LUV,2023-02-03,21600000000.0
LUV,2023-04-27,17780000000.0
LUV,2023-07-27,19670000000.0
LUV,2023-10-26,13940000000.0
LUV,2024-02-02,18120000000.0
LUV,2024-04-25,16309999999.999998
LUV,2024-07-25,16820000000.0
LUV,2024-10-24,17400000000.0
