Company,Date,Market Cap
LW,2016-12-30,5530000000.0
LW,2017-03-31,6140000000.0
LW,2017-07-17,6430000000.0
LW,2017-09-29,6860000000.0
LW,2017-12-29,8250000000.0
LW,2018-03-28,8250000000.0
LW,2018-07-16,10270000000.0
LW,2018-09-28,9750000000.0
LW,2018-12-28,10780000000.0
LW,2019-03-28,10810000000.0
LW,2019-07-15,9690000000.0
LW,2019-09-27,10720000000.0
LW,2019-12-27,12570000000.0
LW,2020-03-27,8359999999.999999
LW,2020-07-20,9490000000.0
LW,2020-09-30,9700000000.0
LW,2020-12-30,11320000000.0
LW,2021-03-31,11330000000.0
LW,2021-09-30,8960000000.0
LW,2021-12-30,9150000000.0
LW,2022-07-18,10520000000.0
LW,2022-09-28,11360000000.0
LW,2022-12-29,12800000000.0
LW,2023-03-30,14990000000.0
LW,2023-07-17,16460000000.0
LW,2023-09-28,13360000000.0
LW,2023-12-28,15610000000.0
LW,2024-03-28,15380000000.0
LW,2024-07-17,11350000000.0
LW,2024-09-25,9260000000.0
LW,2024-12-13,11310000000.0
