Company,Date,Market Cap
LYV,2010-02-19,2109999999.9999998
LYV,2010-05-04,2580000000.0
LYV,2010-07-30,1600000000.0
LYV,2010-10-29,1650000000.0
LYV,2011-02-22,1950000000.0
LYV,2011-04-29,2020000000.0
LYV,2011-08-04,1840000000.0
LYV,2011-10-28,1860000000.0
LYV,2012-02-17,1990000000.0
LYV,2012-05-03,1600000000.0
LYV,2012-08-02,1660000000.0
LYV,2012-10-31,1750000000.0
LYV,2013-02-20,1980000000.0
LYV,2013-05-01,2400000000.0
LYV,2013-07-31,3250000000.0
LYV,2013-10-31,3870000000.0
LYV,2014-02-19,4350000000.0
LYV,2014-04-30,4190000000.0000005
LYV,2014-07-28,4800000000.0
LYV,2014-10-24,4720000000.0
LYV,2015-02-20,5210000000.0
LYV,2015-04-24,5240000000.0
LYV,2015-08-04,5310000000.0
LYV,2015-10-22,5260000000.0
LYV,2016-02-19,4059999999.9999995
LYV,2016-04-27,4410000000.0
LYV,2016-07-21,5110000000.0
LYV,2016-11-01,5490000000.0
LYV,2017-02-16,6000000000.0
LYV,2017-04-27,6620000000.0
LYV,2017-08-02,7660000000.0
LYV,2017-10-26,8740000000.0
LYV,2018-02-20,9750000000.0
LYV,2018-04-26,8410000000.0
LYV,2018-07-19,10720000000.0
LYV,2018-10-25,10620000000.0
LYV,2019-02-21,11780000000.0
LYV,2019-04-25,13930000000.0
LYV,2019-07-18,15050000000.0
LYV,2019-10-24,14500000000.0
LYV,2020-02-20,16230000000.0
LYV,2020-04-30,9660000000.0
LYV,2020-07-29,10200000000.0
LYV,2020-10-29,10780000000.0
LYV,2021-02-22,19370000000.0
LYV,2021-04-29,18070000000.0
LYV,2021-07-27,17580000000.0
LYV,2021-10-28,22560000000.0
LYV,2022-02-16,27010000000.0
LYV,2022-04-28,24610000000.0
LYV,2022-07-28,21410000000.0
LYV,2022-10-27,18040000000.0
LYV,2023-02-16,18110000000.0
LYV,2023-07-21,22290000000.0
LYV,2023-10-26,17990000000.0
LYV,2024-02-15,21660000000.0
LYV,2024-04-25,20480000000.0
LYV,2024-07-23,22190000000.0
LYV,2024-11-05,27330000000.0
