Company,Date,Market Cap
L,2010-02-12,14860000000.0
L,2010-04-28,15590000000.0
L,2010-07-23,15550000000.0
L,2010-10-22,16520000000.0
L,2011-02-01,17070000000.0
L,2011-04-22,17690000000.0
L,2011-07-22,16530000000.000002
L,2011-10-21,15330000000.0
L,2012-02-01,15020000000.0
L,2012-04-20,15810000000.0
L,2012-07-23,16010000000.000002
L,2012-10-19,16730000000.0
L,2013-02-15,17210000000.0
L,2013-04-22,16719999999.999998
L,2013-07-19,18010000000.0
L,2013-10-21,18940000000.0
L,2014-02-14,17059999999.999998
L,2014-04-21,16940000000.000002
L,2014-07-28,16570000000.0
L,2014-10-27,15940000000.0
L,2015-02-13,15800000000.0
L,2015-04-24,15460000000.0
L,2015-07-24,13730000000.0
L,2015-10-23,13000000000.0
L,2016-02-03,12310000000.0
L,2016-04-22,13510000000.0
L,2016-07-22,13920000000.0
L,2016-10-21,13750000000.0
L,2017-02-03,15690000000.0
L,2017-04-21,15470000000.0
L,2017-07-21,16120000000.000002
L,2017-10-20,16489999999.999998
L,2018-02-02,16710000000.0
L,2018-04-20,16469999999.999998
L,2018-07-20,15680000000.0
L,2018-10-26,14200000000.0
L,2019-02-01,14960000000.0
L,2019-04-19,14880000000.0
L,2019-07-26,16579999999.999998
L,2019-10-25,15170000000.0
L,2020-02-07,15320000000.0
L,2020-04-24,9120000000.0
L,2020-07-24,10340000000.0
L,2020-10-23,9960000000.0
L,2021-02-05,12760000000.0
L,2021-04-30,14670000000.0
L,2021-07-30,13800000000.0
L,2021-10-29,14220000000.0
L,2022-02-04,15210000000.0
L,2022-04-29,15470000000.0
L,2022-10-28,13770000000.0
L,2023-02-03,14120000000.0
L,2023-04-28,13120000000.0
L,2023-07-28,14020000000.0
L,2023-10-27,14020000000.0
L,2024-02-02,16230000000.0
L,2024-05-03,16920000000.000002
L,2024-07-26,17580000000.0
L,2024-11-01,17260000000.0
