Company,Date,Market Cap
MAA,2010-02-05,1370000000.0
MAA,2010-04-20,1560000000.0
MAA,2010-07-21,1720000000.0
MAA,2010-10-21,2100000000.0
MAA,2011-02-04,2200000000.0
MAA,2011-04-22,2390000000.0
MAA,2011-07-22,2720000000.0
MAA,2011-10-24,2270000000.0
MAA,2012-02-03,2510000000.0
MAA,2012-04-27,2800000000.0
MAA,2012-07-30,2840000000.0
MAA,2012-10-26,2680000000.0
MAA,2013-02-04,2790000000.0
MAA,2013-04-29,2940000000.0
MAA,2013-07-29,2910000000.0
MAA,2013-11-04,4920000000.0
MAA,2014-02-18,5090000000.0
MAA,2014-04-28,5220000000.0
MAA,2014-10-27,5300000000.0
MAA,2015-02-19,5550000000.0
MAA,2015-04-27,5770000000.0
MAA,2015-07-27,5780000000.0
MAA,2015-10-26,6470000000.0
MAA,2016-02-19,6910000000.0
MAA,2016-07-25,8039999999.999999
MAA,2016-10-24,7000000000.0
MAA,2017-02-20,11310000000.0
MAA,2017-04-24,11510000000.0
MAA,2017-07-24,11600000000.0
MAA,2017-10-23,11860000000.0
MAA,2018-02-19,10090000000.0
MAA,2018-04-30,10410000000.0
MAA,2018-07-30,11230000000.0
MAA,2018-10-29,11340000000.0
MAA,2019-02-18,11860000000.0
MAA,2019-04-29,12260000000.0
MAA,2019-07-29,13590000000.0
MAA,2019-10-28,15390000000.0
MAA,2020-02-17,16629999999.999998
MAA,2020-05-04,12610000000.0
MAA,2020-07-27,12620000000.0
MAA,2020-10-26,13400000000.0
MAA,2021-02-15,15800000000.0
MAA,2021-04-26,17770000000.0
MAA,2021-10-25,23180000000.0
MAA,2022-02-14,23940000000.0
MAA,2022-04-25,23660000000.0
MAA,2022-07-25,20000000000.0
MAA,2022-10-24,17140000000.0
MAA,2023-02-09,20000000000.0
MAA,2023-04-24,17500000000.0
MAA,2023-07-24,18060000000.0
MAA,2023-10-23,14860000000.0
MAA,2024-02-06,14660000000.0
MAA,2024-04-29,15320000000.0
MAA,2024-07-29,16730000000.0
MAA,2024-10-28,17980000000.0
