Company,Date,Market Cap
MA,2010-02-11,25290000000.0
MA,2010-04-15,29110000000.0
MA,2010-04-28,28040000000.0
MA,2010-07-26,25290000000.0
MA,2010-10-27,30110000000.0
MA,2011-02-16,31460000000.0
MA,2011-04-28,33150000000.0
MA,2011-07-28,37040000000.0
MA,2011-10-27,42360000000.0
MA,2011-11-21,42700000000.0
MA,2012-02-09,48100000000.0
MA,2012-04-26,55040000000.0
MA,2012-07-26,49350000000.0
MA,2012-10-25,53600000000.0
MA,2013-02-07,61290000000.0
MA,2013-04-25,62540000000.0
MA,2013-07-25,69480000000.0
MA,2013-10-24,83920000000.0
MA,2014-01-22,96460000000.0
MA,2014-02-06,85480000000.0
MA,2014-04-24,83550000000.0
MA,2014-07-24,86440000000.0
MA,2014-10-23,82460000000.0
MA,2015-02-05,95370000000.0
MA,2015-04-22,101790000000.0
MA,2015-07-22,107430000000.0
MA,2015-10-22,107840000000.0
MA,2016-02-04,94050000000.0
MA,2016-04-21,105210000000.0
MA,2016-07-21,99620000000.0
MA,2016-10-25,110030000000.0
MA,2017-02-10,113560000000.0
MA,2017-04-27,123410000000.0
MA,2017-07-24,135889999999.99998
MA,2017-10-26,152980000000.0
MA,2018-02-09,171350000000.0
MA,2018-04-27,181250000000.0
MA,2018-07-23,213050000000.0
MA,2018-10-25,208470000000.0
MA,2019-02-08,219660000000.0
MA,2019-04-25,248060000000.0
MA,2019-07-25,280220000000.0
MA,2019-10-24,268060000000.0
MA,2020-02-11,329030000000.0
MA,2020-04-24,256959999999.99997
MA,2020-07-27,306550000000.0
MA,2020-10-23,325810000000.0
MA,2021-02-09,328490000000.0
MA,2021-04-26,380850000000.0
MA,2021-07-26,384480000000.0
MA,2021-10-25,351730000000.0
MA,2022-02-08,363040000000.0
MA,2022-04-25,342160000000.0
MA,2022-07-25,329990000000.0
MA,2022-10-24,291480000000.0
MA,2023-02-08,350250000000.0
MA,2023-04-24,352400000000.0
MA,2023-07-24,378420000000.0
MA,2023-10-23,356980000000.0
MA,2024-02-08,424220000000.0
MA,2024-04-26,426570000000.0
MA,2024-07-26,401680000000.0
MA,2024-10-28,462860000000.0
