Company,Date,Market Cap
MCD,2010-01-31,67170000000.0
MCD,2010-03-31,71780000000.0
MCD,2010-06-30,70110000000.0
MCD,2010-09-30,78720000000.0
MCD,2011-01-31,76860000000.0
MCD,2011-03-31,78950000000.0
MCD,2011-06-30,87000000000.0
MCD,2011-09-30,89860000000.0
MCD,2012-01-31,100890000000.0
MCD,2012-03-31,99690000000.0
MCD,2012-06-30,89280000000.0
MCD,2012-09-30,92110000000.0
MCD,2013-01-31,95560000000.0
MCD,2013-03-31,99940000000.0
MCD,2013-06-30,98960000000.0
MCD,2013-09-30,95730000000.0
MCD,2014-01-31,87780000000.0
MCD,2014-03-31,96890000000.0
MCD,2014-06-30,98920000000.0
MCD,2014-09-30,92270000000.0
MCD,2015-01-31,88850000000.0
MCD,2015-03-31,93400000000.0
MCD,2015-06-30,89540000000.0
MCD,2015-09-30,90470000000.0
MCD,2016-01-31,111600000000.0
MCD,2016-03-31,110330000000.0
MCD,2016-06-30,102690000000.0
MCD,2016-09-30,95800000000.0
MCD,2017-01-31,100380000000.0
MCD,2017-03-31,105640000000.0
MCD,2017-06-30,124060000000.0
MCD,2017-09-30,124900000000.0
MCD,2018-01-31,135970000000.0
MCD,2018-03-31,122790000000.0
MCD,2018-06-30,121560000000.0
MCD,2018-09-30,128970000000.0
MCD,2019-01-31,136820000000.0
MCD,2019-03-31,145000000000.0
MCD,2019-06-30,157710000000.0
MCD,2019-09-30,161700000000.0
MCD,2020-01-31,159500000000.0
MCD,2020-03-31,122950000000.0
MCD,2020-06-30,137259999999.99998
MCD,2020-09-30,163540000000.0
MCD,2021-01-31,154960000000.0
MCD,2021-03-31,167250000000.0
MCD,2021-06-30,172500000000.0
MCD,2021-09-30,180170000000.0
MCD,2022-01-31,192920000000.0
MCD,2022-03-31,182880000000.0
MCD,2022-06-30,181630000000.0
MCD,2022-09-30,169000000000.0
MCD,2023-01-31,195600000000.0
MCD,2023-03-31,204140000000.0
MCD,2023-06-30,217470000000.0
MCD,2023-09-30,191080000000.0
MCD,2024-01-31,211360000000.0
MCD,2024-03-31,203200000000.0
MCD,2024-06-30,182810000000.0
MCD,2024-09-30,218220000000.0
