Company,Date,Market Cap
MKTX,2010-02-24,535740000.0
MKTX,2010-04-29,526539999.99999994
MKTX,2010-07-28,425360000.0
MKTX,2010-10-27,572160000.0
MKTX,2011-02-22,791480000.0
MKTX,2011-04-27,843520000.0
MKTX,2011-07-26,882280000.0
MKTX,2011-10-25,946390000.0
MKTX,2012-02-16,1250000000.0
MKTX,2012-04-25,1290000000.0
MKTX,2012-07-25,1130000000.0
MKTX,2012-11-01,1180000000.0
MKTX,2013-02-20,1480000000.0
MKTX,2013-04-25,1590000000.0
MKTX,2013-07-25,2009999999.9999998
MKTX,2013-10-24,2470000000.0
MKTX,2014-02-21,2240000000.0
MKTX,2014-04-24,2069999999.9999998
MKTX,2014-06-30,2029999999.9999998
MKTX,2014-10-23,2290000000.0
MKTX,2015-02-20,2950000000.0
MKTX,2015-04-23,3310000000.0
MKTX,2015-07-23,3650000000.0
MKTX,2015-10-22,3340000000.0
MKTX,2016-02-22,4170000000.0
MKTX,2016-04-27,4720000000.0
MKTX,2016-07-28,6010000000.0
MKTX,2016-10-27,5660000000.0
MKTX,2017-02-16,7200000000.0
MKTX,2017-04-26,7300000000.0
MKTX,2017-07-26,7700000000.0
MKTX,2017-10-26,6740000000.0
MKTX,2018-02-16,7580000000.0
MKTX,2018-04-24,7550000000.0
MKTX,2018-07-24,7870000000.0
MKTX,2018-10-22,7380000000.0
MKTX,2019-02-15,8650000000.0
MKTX,2019-04-22,9880000000.0
MKTX,2019-07-22,13990000000.0
MKTX,2019-10-21,13350000000.0
MKTX,2020-02-12,12720000000.0
MKTX,2020-04-28,16730000000.0
MKTX,2020-07-21,20260000000.0
MKTX,2020-10-28,21150000000.0
MKTX,2021-02-16,20420000000.0
MKTX,2021-04-23,19270000000.0
MKTX,2021-07-22,17650000000.0
MKTX,2021-10-21,15620000000.0
MKTX,2022-02-17,14180000000.0
MKTX,2022-04-22,10040000000.0
MKTX,2022-07-22,10190000000.0
MKTX,2022-10-24,9100000000.0
MKTX,2023-02-17,13360000000.0
MKTX,2023-04-24,12060000000.0
MKTX,2023-07-24,10220000000.0
MKTX,2023-10-23,8920000000.0
MKTX,2024-02-20,8100000000.0
MKTX,2024-05-03,7720000000.0
MKTX,2024-08-02,8860000000.0
MKTX,2024-11-04,10840000000.0
