Company,Date,Market Cap
MLM,2010-02-12,3550000000.0
MLM,2010-04-30,4360000000.0
MLM,2010-07-30,3890000000.0
MLM,2010-10-28,3640000000.0
MLM,2011-02-24,3960000000.0
MLM,2011-04-28,4170000000.0
MLM,2011-07-22,3620000000.0
MLM,2011-10-21,3240000000.0
MLM,2012-02-23,4010000000.0
MLM,2012-04-20,3750000000.0
MLM,2012-07-20,3830000000.0
MLM,2012-10-23,3760000000.0
MLM,2013-02-15,4640000000.0
MLM,2013-04-23,4450000000.0
MLM,2013-07-24,4840000000.0
MLM,2013-10-30,4580000000.0
MLM,2014-02-14,5470000000.0
MLM,2014-04-24,5870000000.0
MLM,2014-07-25,8760000000.0
MLM,2014-10-28,7860000000.0
MLM,2015-02-13,9760000000.0
MLM,2015-05-01,9980000000.0
MLM,2015-07-31,10510000000.0
MLM,2015-10-30,10260000000.0
MLM,2016-02-12,8550000000.000001
MLM,2016-05-02,10940000000.0
MLM,2016-08-02,12590000000.0
MLM,2016-10-28,11510000000.0
MLM,2017-02-10,14530000000.0
MLM,2017-04-26,13880000000.0
MLM,2017-07-26,14300000000.0
MLM,2017-10-25,13340000000.0
MLM,2018-02-09,13460000000.0
MLM,2018-05-02,12390000000.0
MLM,2018-07-23,14090000000.0
MLM,2018-11-01,10990000000.0
MLM,2019-02-15,11870000000.0
MLM,2019-04-25,13290000000.0
MLM,2019-07-26,13980000000.0
MLM,2019-10-24,16559999999.999998
MLM,2020-02-14,16390000000.0
MLM,2020-04-29,12310000000.0
MLM,2020-07-21,14050000000.0
MLM,2020-10-26,15830000000.0
MLM,2021-02-12,20610000000.0
MLM,2021-04-30,22020000000.0
MLM,2021-07-23,22220000000.0
MLM,2021-10-28,24560000000.0
MLM,2022-02-15,24020000000.0
MLM,2022-04-28,22820000000.0
MLM,2022-07-25,20600000000.0
MLM,2022-10-27,20520000000.0
MLM,2023-02-17,23080000000.0
MLM,2023-04-28,22510000000.0
MLM,2023-07-24,28340000000.0
MLM,2023-10-27,24660000000.0
MLM,2024-02-19,33380000000.000004
MLM,2024-04-25,36800000000.0
MLM,2024-08-05,33759999999.999996
MLM,2024-10-25,34850000000.0
