Company,Date,Market Cap
MMC,2010-02-19,12130000000.0
MMC,2010-04-30,13110000000.0
MMC,2010-07-31,12760000000.0
MMC,2010-10-31,13580000000.0
MMC,2011-02-18,16750000000.0
MMC,2011-04-30,16610000000.0
MMC,2011-07-31,15970000000.0
MMC,2011-10-31,16469999999.999998
MMC,2012-02-17,17510000000.0
MMC,2012-04-30,18270000000.0
MMC,2012-05-17,17440000000.0
MMC,2012-07-31,18070000000.0
MMC,2012-10-31,18530000000.0
MMC,2013-02-20,19790000000.0
MMC,2013-04-30,20950000000.0
MMC,2013-07-31,23010000000.0
MMC,2013-10-31,25130000000.0
MMC,2014-02-21,26300000000.0
MMC,2014-04-30,27100000000.0
MMC,2014-07-28,27840000000.0
MMC,2014-10-27,28000000000.0
MMC,2015-02-20,30780000000.0
MMC,2015-04-24,30580000000.0
MMC,2015-07-24,30870000000.0
MMC,2015-10-23,28850000000.0
MMC,2016-02-18,29970000000.0
MMC,2016-04-25,32360000000.0
MMC,2016-07-25,34330000000.0
MMC,2016-10-21,33530000000.0
MMC,2017-02-16,37730000000.0
MMC,2017-04-25,37560000000.0
MMC,2017-07-25,41290000000.0
MMC,2017-10-25,43110000000.0
MMC,2018-02-19,42010000000.0
MMC,2018-04-25,41910000000.0
MMC,2018-07-24,43980000000.0
MMC,2018-10-23,40340000000.0
MMC,2019-02-18,46050000000.0
MMC,2019-04-24,48000000000.0
MMC,2019-07-31,50020000000.0
MMC,2019-10-25,49240000000.0
MMC,2020-02-18,60190000000.0
MMC,2020-04-24,47220000000.0
MMC,2020-07-24,58060000000.0
MMC,2020-10-23,57670000000.0
MMC,2021-02-12,57320000000.0
MMC,2021-04-22,64540000000.00001
MMC,2021-10-15,81790000000.0
MMC,2022-02-10,77180000000.0
MMC,2022-07-18,74030000000.0
MMC,2022-10-17,77320000000.0
MMC,2023-02-09,84770000000.0
MMC,2023-04-17,86170000000.0
MMC,2023-07-17,93050000000.0
MMC,2023-10-16,94920000000.0
MMC,2024-02-08,96760000000.0
MMC,2024-04-15,97220000000.0
MMC,2024-07-15,107430000000.0
MMC,2024-10-14,111740000000.0
