Company,Date,Market Cap
MNST,2010-02-12,3460000000.0
MNST,2010-04-28,3800000000.0
MNST,2010-08-02,3700000000.0
MNST,2010-10-25,4570000000.0
MNST,2011-02-22,4960000000.0
MNST,2011-04-26,5810000000.0
MNST,2011-07-27,6660000000.0
MNST,2011-10-25,7360000000.0
MNST,2012-02-16,9230000000.0
MNST,2012-02-24,9830000000.0
MNST,2012-04-26,11520000000.0
MNST,2012-07-25,11740000000.0
MNST,2012-10-26,7860000000.0
MNST,2013-02-25,8220000000.000001
MNST,2013-04-26,9400000000.0
MNST,2013-07-26,10530000000.0
MNST,2013-10-24,9620000000.0
MNST,2014-02-24,12440000000.0
MNST,2014-04-28,11150000000.0
MNST,2014-07-23,10940000000.0
MNST,2014-10-27,16410000000.0
MNST,2015-02-17,20180000000.0
MNST,2015-03-20,23400000000.0
MNST,2015-04-28,23950000000.0
MNST,2015-07-29,31100000000.0
MNST,2015-10-26,28680000000.0
MNST,2016-02-04,26070000000.0
MNST,2016-04-20,25720000000.0
MNST,2016-07-22,30570000000.0
MNST,2016-10-20,27900000000.0
MNST,2016-11-10,24170000000.0
MNST,2017-02-10,24940000000.0
MNST,2017-04-05,26080000000.0
MNST,2017-04-24,25820000000.0
MNST,2017-08-01,30180000000.0
MNST,2017-10-26,32000000000.0
MNST,2018-02-12,36300000000.0
MNST,2018-04-26,31000000000.0
MNST,2018-08-01,32470000000.0
MNST,2018-10-31,29220000000.0
MNST,2019-02-20,31880000000.0
MNST,2019-04-17,29840000000.0
MNST,2019-07-29,35630000000.0
MNST,2019-07-26,12500000000.0
MNST,2019-10-30,30190000000.0
MNST,2020-02-20,37800000000.0
MNST,2020-04-30,32549999999.999996
MNST,2020-07-31,41390000000.0
MNST,2020-10-30,40420000000.0
MNST,2021-02-19,47350000000.0
MNST,2021-04-30,51300000000.0
MNST,2021-07-30,49880000000.0
MNST,2021-10-29,44980000000.0
MNST,2022-02-16,44050000000.0
MNST,2022-04-29,45380000000.0
MNST,2022-07-29,52490000000.0
MNST,2022-10-31,48900000000.0
MNST,2023-02-16,54350000000.0
MNST,2023-04-28,58620000000.0
MNST,2023-07-31,60220000000.0
MNST,2023-10-31,53170000000.0
MNST,2024-02-15,58450000000.0
MNST,2024-04-26,55600000000.0
MNST,2024-07-31,50400000000.0
MNST,2024-10-31,51230000000.0
