Company,Date,Market Cap
MOS,2010-03-26,26430000000.0
MOS,2010-07-16,19940000000.0
MOS,2010-10-01,26570000000.0
MOS,2010-12-31,34070000000.0
MOS,2011-03-25,35190000000.0
MOS,2011-07-15,18410000000.0
MOS,2011-09-23,15920000000.0
MOS,2011-12-29,14920000000.0
MOS,2012-03-26,17400000000.0
MOS,2012-05-31,14150000000.0
MOS,2012-07-11,16460000000.0
MOS,2012-09-28,17100000000.000002
MOS,2012-12-28,16390000000.0
MOS,2013-03-23,17730000000.0
MOS,2013-07-12,16670000000.000002
MOS,2013-11-01,13700000000.0
MOS,2014-02-14,16250000000.0
MOS,2014-05-05,16899999999.999998
MOS,2014-07-30,16059999999.999998
MOS,2014-10-27,14460000000.0
MOS,2015-02-11,17850000000.0
MOS,2015-04-24,15650000000.0
MOS,2015-07-29,14400000000.0
MOS,2015-10-29,11620000000.0
MOS,2016-02-16,8300000000.000001
MOS,2016-04-29,9790000000.0
MOS,2016-07-28,9680000000.0
MOS,2016-10-27,8380000000.000001
MOS,2017-02-10,11510000000.0
MOS,2017-04-28,9450000000.0
MOS,2017-07-28,8480000000.0
MOS,2017-10-31,7840000000.0
MOS,2018-02-15,9960000000.0
MOS,2018-05-04,10570000000.0
MOS,2018-08-03,11740000000.0
MOS,2018-11-02,12300000000.0
MOS,2019-03-01,11950000000.0
MOS,2019-05-03,9880000000.0
MOS,2019-08-02,9410000000.0
MOS,2019-11-01,7830000000.0
MOS,2020-05-01,4230000000.0000005
MOS,2021-02-12,11100000000.0
MOS,2021-04-30,13360000000.0
MOS,2021-07-30,11860000000.0
MOS,2021-10-29,15750000000.0
MOS,2022-02-01,16050000000.0
MOS,2022-04-29,22600000000.0
MOS,2022-07-29,18180000000.0
MOS,2022-11-04,16780000000.000002
MOS,2023-02-17,16770000000.0
MOS,2023-04-28,14230000000.0
MOS,2023-07-28,13360000000.0
MOS,2024-02-16,9830000000.0
MOS,2024-04-26,9720000000.0
MOS,2024-08-02,8720000000.0
MOS,2024-11-08,8810000000.0
