Company,Date,Market Cap
MPWR,2010-02-02,757570000.0
MPWR,2010-04-20,877620000.0
MPWR,2010-07-23,679890000.0
MPWR,2010-10-29,575960000.0
MPWR,2011-02-22,553400000.0
MPWR,2011-04-19,497610000.0
MPWR,2011-07-22,466520000.0
MPWR,2011-10-18,394220000.0
MPWR,2012-03-22,643370000.0
MPWR,2012-04-30,716010000.0
MPWR,2012-07-17,640760000.0
MPWR,2012-10-26,682900000.0
MPWR,2013-02-20,913270000.0
MPWR,2013-04-25,846210000.0
MPWR,2013-07-31,985330000.0
MPWR,2013-10-21,1150000000.0
MPWR,2014-03-03,1370000000.0
MPWR,2014-04-25,1450000000.0
MPWR,2014-07-24,1590000000.0
MPWR,2014-10-24,1570000000.0
MPWR,2015-02-23,2049999999.9999998
MPWR,2015-05-01,2089999999.9999998
MPWR,2015-07-27,1890000000.0
MPWR,2015-10-23,2320000000.0
MPWR,2016-02-22,2360000000.0
MPWR,2016-05-02,2560000000.0
MPWR,2016-07-25,2960000000.0
MPWR,2016-10-28,3170000000.0
MPWR,2017-02-20,3560000000.0
MPWR,2017-05-01,3790000000.0
MPWR,2017-07-24,4340000000.0
MPWR,2017-10-30,4980000000.0
MPWR,2018-02-21,4940000000.0
MPWR,2018-05-03,5070000000.0
MPWR,2018-07-26,5760000000.0
MPWR,2018-10-29,4720000000.0
MPWR,2019-02-20,5860000000.0
MPWR,2019-05-03,6240000000.0
MPWR,2019-07-29,6510000000.0
MPWR,2019-10-28,6690000000.0
MPWR,2020-02-19,8359999999.999999
MPWR,2020-05-04,8490000000.0
MPWR,2020-07-27,11400000000.0
MPWR,2020-11-02,14220000000.0
MPWR,2021-02-22,17000000000.0
MPWR,2021-05-03,16030000000.000002
MPWR,2021-08-02,20870000000.0
MPWR,2021-11-01,24400000000.0
MPWR,2022-02-18,21270000000.0
MPWR,2022-05-03,21340000000.0
MPWR,2022-07-29,21740000000.0
MPWR,2022-11-02,15700000000.0
MPWR,2023-02-17,23750000000.0
MPWR,2023-04-28,21910000000.0
MPWR,2023-07-28,26070000000.0
MPWR,2023-11-01,21870000000.0
MPWR,2024-02-22,36070000000.0
MPWR,2024-04-26,32960000000.0
MPWR,2024-07-26,40060000000.0
MPWR,2024-10-30,44870000000.0
