Company,Date,Market Cap
MRNA,2018-12-07,6030000000.0
MRNA,2019-03-06,6790000000.0
MRNA,2019-04-29,8270000000.0
MRNA,2019-07-31,4330000000.0
MRNA,2019-10-31,5580000000.0
MRNA,2020-02-26,10750000000.0
MRNA,2020-04-30,17070000000.0
MRNA,2020-07-31,29240000000.0
MRNA,2020-10-20,28220000000.0
MRNA,2021-02-16,71370000000.0
MRNA,2021-04-30,71800000000.0
MRNA,2021-07-30,142730000000.0
MRNA,2021-10-29,139970000000.0
MRNA,2022-02-18,58710000000.0
MRNA,2022-04-29,53460000000.0
MRNA,2022-07-29,64190000000.0
MRNA,2022-10-31,57750000000.0
MRNA,2023-02-17,64360000000.0
MRNA,2023-04-28,50660000000.0
MRNA,2023-07-31,44780000000.0
MRNA,2023-10-27,27420000000.0
MRNA,2024-02-16,33759999999.999996
MRNA,2024-04-26,41380000000.0
MRNA,2024-07-26,46940000000.0
MRNA,2024-10-31,20920000000.0
