Company,Date,Market Cap
MSFT,2010-01-25,257149999999.99997
MSFT,2010-04-19,272029999999.99997
MSFT,2010-07-20,220490000000.0
MSFT,2010-10-22,217140000000.0
MSFT,2011-01-21,235430000000.0
MSFT,2011-04-21,215200000000.0
MSFT,2011-07-20,226720000000.0
MSFT,2011-10-17,226960000000.0
MSFT,2012-01-17,237120000000.0
MSFT,2012-04-17,264120000000.0
MSFT,2012-07-18,255270000000.0
MSFT,2012-10-15,248370000000.0
MSFT,2013-01-18,228250000000.0
MSFT,2013-04-11,241680000000.0
MSFT,2013-07-18,295210000000.0
MSFT,2013-10-16,289170000000.0
MSFT,2014-01-17,301980000000.0
MSFT,2014-04-17,330500000000.0
MSFT,2014-07-22,369390000000.0
MSFT,2014-10-16,352300000000.0
MSFT,2015-01-22,386640000000.0
MSFT,2015-04-16,341060000000.0
MSFT,2015-07-27,362710000000.0
MSFT,2015-10-15,375510000000.0
MSFT,2016-01-22,413580000000.0
MSFT,2016-04-15,437430000000.0
MSFT,2016-07-25,442070000000.0
MSFT,2016-10-14,446460000000.0
MSFT,2017-01-20,484830000000.0
MSFT,2017-04-21,512640000000.0
MSFT,2017-07-31,559950000000.0
MSFT,2017-10-20,607990000000.0
MSFT,2018-01-26,724240000000.0
MSFT,2018-04-20,729900000000.0
MSFT,2018-07-31,813440000000.0
MSFT,2018-10-19,834100000000.0
MSFT,2019-01-25,822230000000.0
MSFT,2019-04-18,945360000000.0
MSFT,2019-07-29,1077000000000.0
MSFT,2019-10-18,1048000000000.0
MSFT,2020-01-24,1255000000000.0
MSFT,2020-04-24,1324000000000.0
MSFT,2020-07-27,1543000000000.0
MSFT,2020-10-22,1625000000000.0
MSFT,2021-01-21,1697000000000.0
MSFT,2021-04-22,1937000000000.0
MSFT,2021-07-26,2172000000000.0002
MSFT,2021-10-21,2333000000000.0
MSFT,2022-01-20,2261000000000.0
MSFT,2022-04-21,2100000000000.0
MSFT,2022-07-25,1930000000000.0
MSFT,2022-10-20,1760000000000.0
MSFT,2023-01-19,1726000000000.0
MSFT,2023-04-20,2126999999999.9998
MSFT,2023-07-24,2564000000000.0
MSFT,2023-10-19,2462000000000.0
MSFT,2024-01-25,3008000000000.0
MSFT,2024-04-22,2980000000000.0
MSFT,2024-07-25,3110000000000.0
MSFT,2024-10-24,3158000000000.0
MSFT,2025-01-23,3321000000000.0
