Company,Date,Market Cap
MTB,2010-02-11,8590000000.0
MTB,2010-04-23,10520000000.0
MTB,2010-07-23,10670000000.0
MTB,2010-10-29,8920000000.0
MTB,2011-01-31,10390000000.0
MTB,2011-04-22,10370000000.0
MTB,2011-07-29,10830000000.0
MTB,2011-10-31,9560000000.0
MTB,2012-02-10,10090000000.0
MTB,2012-04-30,10920000000.0
MTB,2012-07-31,10870000000.0
MTB,2012-10-31,13330000000.0
MTB,2013-02-20,13470000000.0
MTB,2013-04-30,12930000000.0
MTB,2013-07-31,15200000000.0
MTB,2013-10-31,14650000000.0
MTB,2014-02-14,14950000000.0
MTB,2014-04-30,16040000000.0
MTB,2014-07-31,16030000000.000002
MTB,2014-10-31,16140000000.0
MTB,2015-02-13,16469999999.999998
MTB,2015-04-30,15910000000.0
MTB,2015-07-24,17540000000.0
MTB,2015-10-23,16340000000.0
MTB,2016-02-12,16850000000.000002
MTB,2016-04-22,18930000000.0
MTB,2016-07-29,17960000000.0
MTB,2016-10-28,18930000000.0
MTB,2017-02-17,25890000000.0
MTB,2017-04-28,23910000000.0
MTB,2017-07-31,24790000000.0
MTB,2017-10-31,25100000000.0
MTB,2018-01-31,28650000000.0
MTB,2018-04-30,26470000000.0
MTB,2018-07-27,25250000000.0
MTB,2018-10-31,23220000000.0
MTB,2019-01-31,22790000000.0
MTB,2019-04-26,23080000000.0
MTB,2019-07-31,21950000000.0
MTB,2019-10-31,20660000000.0
MTB,2020-01-31,21980000000.0
MTB,2020-04-30,14380000000.0
MTB,2020-07-31,13590000000.0
MTB,2020-10-30,13290000000.0
MTB,2021-02-19,19290000000.0
MTB,2021-04-30,20290000000.0
MTB,2021-07-30,17220000000.0
MTB,2021-10-29,18930000000.0
MTB,2022-02-11,23520000000.0
MTB,2022-04-29,29900000000.0
MTB,2022-08-01,30920000000.0
MTB,2022-11-01,29020000000.0
MTB,2023-02-17,26830000000.0
MTB,2023-05-01,20180000000.0
MTB,2023-08-01,23020000000.0
MTB,2023-11-01,18610000000.0
MTB,2024-02-16,23050000000.0
MTB,2024-05-01,24380000000.0
MTB,2024-08-01,27860000000.0
MTB,2024-11-01,31900000000.0
