Company,Date,Market Cap
MTCH,2015-11-19,2080000000.0
MTCH,2016-01-29,1990000000.0
MTCH,2016-04-29,1810000000.0
MTCH,2016-07-22,2510000000.0
MTCH,2016-10-28,2910000000.0
MTCH,2017-01-27,3210000000.0
MTCH,2017-05-01,4080000000.0
MTCH,2017-07-28,5550000000.0
MTCH,2017-11-03,8170000000.0
MTCH,2018-02-02,9310000000.0
MTCH,2018-05-04,8870000000.0
MTCH,2018-08-06,10390000000.0
MTCH,2018-11-02,13550000000.0
MTCH,2019-02-01,14470000000.0
MTCH,2019-05-03,16250000000.0
MTCH,2019-08-02,16820000000.0
MTCH,2019-07-31,14760000000.0
MTCH,2019-11-07,15460000000.0
MTCH,2020-01-31,17740000000.0
MTCH,2020-04-29,16820000000.0
MTCH,2020-05-01,16129999999.999998
MTCH,2020-07-01,27360000000.0
MTCH,2020-07-31,26700000000.0
MTCH,2020-10-30,31060000000.0
MTCH,2021-02-22,42150000000.0
MTCH,2021-07-30,44090000000.0
MTCH,2021-10-29,42680000000.0
MTCH,2022-02-18,30670000000.0
MTCH,2022-04-29,22600000000.0
MTCH,2022-07-29,20750000000.0
MTCH,2022-10-28,12200000000.0
MTCH,2023-02-17,12190000000.0
MTCH,2023-04-28,10280000000.0
MTCH,2023-08-03,12840000000.0
MTCH,2023-10-27,9240000000.0
MTCH,2024-02-21,9700000000.0
MTCH,2024-05-03,8480000000.0
MTCH,2024-07-26,8580000000.0
MTCH,2024-11-01,8960000000.0
