Company,Date,Market Cap
NCLH,2013-01-18,4970000000.0
NCLH,2013-02-15,6180000000.0
NCLH,2013-05-08,6510000000.0
NCLH,2013-07-26,6320000000.0
NCLH,2013-10-25,6650000000.0
NCLH,2014-02-14,7220000000.0
NCLH,2014-04-28,6500000000.0
NCLH,2014-07-28,6660000000.0
NCLH,2014-10-27,7180000000.0
NCLH,2015-02-20,10880000000.0
NCLH,2015-04-30,11140000000.0
NCLH,2015-07-31,14300000000.0
NCLH,2015-10-29,14540000000.0
NCLH,2016-02-24,10890000000.0
NCLH,2016-05-05,11100000000.0
NCLH,2016-08-03,9190000000.0
NCLH,2016-11-03,8449999999.999999
NCLH,2017-02-17,10840000000.0
NCLH,2017-05-05,12650000000.0
NCLH,2017-07-31,12560000000.0
NCLH,2017-10-31,12740000000.0
NCLH,2018-02-16,13520000000.0
NCLH,2018-05-01,12100000000.0
NCLH,2018-07-31,11080000000.0
NCLH,2018-10-31,9770000000.0
NCLH,2019-02-15,11550000000.0
NCLH,2019-04-30,12150000000.0
NCLH,2019-07-31,10660000000.0
NCLH,2019-07-25,5520000000.0
NCLH,2019-10-31,10800000000.0
NCLH,2020-02-14,11180000000.0
NCLH,2020-05-08,3190000000.0
NCLH,2020-07-31,3760000000.0
NCLH,2020-10-31,4580000000.0
NCLH,2021-02-16,7950000000.0
NCLH,2021-04-30,11490000000.0
NCLH,2021-07-31,8890000000.0
NCLH,2021-10-31,9520000000.0
NCLH,2022-02-16,9490000000.0
NCLH,2022-04-30,8390000000.000001
NCLH,2022-07-31,5120000000.0
NCLH,2022-10-31,7120000000.0
NCLH,2023-02-16,7510000000.0
NCLH,2023-04-30,5660000000.0
NCLH,2023-10-31,5790000000.0
NCLH,2024-02-16,6920000000.0
NCLH,2024-04-30,8119999999.999999
NCLH,2024-07-31,8100000000.0
NCLH,2024-10-31,11140000000.0
