Company,Date,Market Cap
NDSN,2010-01-31,1910000000.0
NDSN,2010-04-30,2450000000.0
NDSN,2010-07-31,2140000000.0000002
NDSN,2010-11-30,2700000000.0
NDSN,2011-01-31,3150000000.0
NDSN,2011-04-13,3780000000.0
NDSN,2011-04-30,3890000000.0
NDSN,2011-07-31,3460000000.0
NDSN,2011-11-30,3080000000.0
NDSN,2012-01-31,2930000000.0
NDSN,2012-04-30,3470000000.0
NDSN,2012-07-31,3290000000.0
NDSN,2012-11-30,3940000000.0
NDSN,2013-01-31,4360000000.0
NDSN,2013-04-30,4460000000.0
NDSN,2013-07-31,4630000000.0
NDSN,2013-11-29,4630000000.0
NDSN,2014-01-31,4460000000.0
NDSN,2014-04-30,4730000000.0
NDSN,2014-08-26,5130000000.0
NDSN,2014-11-28,4860000000.0
NDSN,2015-01-31,4490000000.0
NDSN,2015-04-30,4850000000.0
NDSN,2015-07-31,4470000000.0
NDSN,2015-11-30,4139999999.9999995
NDSN,2016-01-31,3440000000.0
NDSN,2016-04-30,4380000000.0
NDSN,2016-07-31,5050000000.0
NDSN,2016-11-30,6120000000.0
NDSN,2017-01-31,6530000000.0
NDSN,2017-04-30,7220000000.0
NDSN,2017-07-31,7330000000.0
NDSN,2017-11-30,7410000000.0
NDSN,2018-01-31,8330000000.0
NDSN,2018-04-30,7470000000.0
NDSN,2018-07-31,7800000000.0
NDSN,2018-11-30,6970000000.0
NDSN,2019-01-31,7430000000.0
NDSN,2019-05-31,7220000000.0
NDSN,2019-08-30,7820000000.0
NDSN,2019-11-30,9570000000.0
NDSN,2020-02-29,8410000000.0
NDSN,2020-05-29,10860000000.0
NDSN,2020-08-25,10950000000.0
NDSN,2020-11-30,11840000000.0
NDSN,2021-02-26,11180000000.0
NDSN,2021-05-24,11770000000.0
NDSN,2021-08-27,13570000000.0
NDSN,2021-11-30,14790000000.0
NDSN,2022-02-22,13170000000.0
NDSN,2022-05-25,12270000000.0
NDSN,2022-08-23,13680000000.0
NDSN,2022-11-30,13520000000.0
NDSN,2023-02-21,12130000000.0
NDSN,2023-05-19,12380000000.0
NDSN,2023-08-22,13440000000.0
NDSN,2023-11-30,13420000000.0
NDSN,2024-02-20,15110000000.0
NDSN,2024-05-20,15370000000.0
NDSN,2024-08-20,13690000000.0
NDSN,2024-11-30,14880000000.0
