Company,Date,Market Cap
NEE,2010-01-31,20170000000.0
NEE,2010-03-31,20040000000.0
NEE,2010-06-30,20280000000.0
NEE,2010-09-30,22760000000.0
NEE,2011-01-31,22500000000.0
NEE,2011-03-31,23260000000.0
NEE,2011-06-30,24270000000.0
NEE,2011-09-30,22830000000.0
NEE,2012-01-31,24910000000.0
NEE,2012-03-31,25470000000.0
NEE,2012-06-30,29090000000.0
NEE,2012-09-30,29760000000.0
NEE,2013-01-31,30540000000.0
NEE,2013-03-31,32990000000.000004
NEE,2013-06-30,34600000000.0
NEE,2013-09-30,34520000000.0
NEE,2014-01-31,40020000000.0
NEE,2014-06-30,44720000000.0
NEE,2014-09-30,40980000000.0
NEE,2015-01-31,48440000000.0
NEE,2015-03-31,46210000000.0
NEE,2015-06-30,44320000000.0
NEE,2015-09-30,44930000000.0
NEE,2016-01-31,51450000000.0
NEE,2016-03-31,54610000000.0
NEE,2016-06-30,60240000000.0
NEE,2016-09-30,57160000000.0
NEE,2017-01-31,57850000000.0
NEE,2017-03-31,60100000000.0
NEE,2017-06-30,65750000000.0
NEE,2017-09-30,68940000000.0
NEE,2018-01-31,74580000000.0
NEE,2018-03-31,77000000000.0
NEE,2018-06-30,78770000000.0
NEE,2018-09-30,80100000000.0
NEE,2019-01-31,85580000000.0
NEE,2019-03-31,92590000000.0
NEE,2019-06-30,98150000000.0
NEE,2019-09-30,113880000000.0
NEE,2020-03-31,117770000000.0
NEE,2020-10-27,148360000000.0
NEE,2024-03-31,131310000000.0
NEE,2024-09-30,173830000000.0
