Company,Date,Market Cap
NEM,2010-02-17,22820000000.0
NEM,2010-04-20,24910000000.0
NEM,2010-07-21,28190000000.0
NEM,2010-10-25,28870000000.0
NEM,2011-02-18,28460000000.0
NEM,2011-04-12,27880000000.0
NEM,2011-07-21,28530000000.0
NEM,2011-10-20,30090000000.0
NEM,2012-02-15,29210000000.0
NEM,2012-04-18,23500000000.0
NEM,2012-07-18,21940000000.0
NEM,2012-10-25,26330000000.0
NEM,2013-02-14,21910000000.0
NEM,2013-04-22,16440000000.000002
NEM,2013-07-18,13830000000.0
NEM,2013-10-24,13630000000.0
NEM,2014-02-12,11100000000.0
NEM,2014-04-16,11840000000.0
NEM,2014-07-18,12680000000.0
NEM,2014-10-22,11270000000.0
NEM,2015-02-11,12040000000.0
NEM,2015-04-15,11770000000.0
NEM,2015-07-16,11310000000.0
NEM,2015-10-22,10070000000.0
NEM,2016-02-09,12860000000.0
NEM,2016-04-13,15640000000.0
NEM,2016-07-13,21690000000.0
NEM,2016-10-19,19630000000.0
NEM,2017-02-14,19700000000.0
NEM,2017-04-17,18440000000.0
NEM,2017-07-17,17990000000.0
NEM,2017-10-19,20180000000.0
NEM,2018-02-15,21020000000.0
NEM,2018-04-19,22370000000.0
NEM,2018-07-19,19740000000.0
NEM,2018-10-18,17240000000.0
NEM,2019-02-14,17640000000.0
NEM,2019-04-22,26780000000.0
NEM,2019-07-18,32549999999.999996
NEM,2019-07-31,15460000000.0
NEM,2019-10-29,31840000000.0
NEM,2020-02-13,35540000000.0
NEM,2020-04-28,50300000000.0
NEM,2020-07-23,52820000000.0
NEM,2020-10-22,48640000000.0
NEM,2021-02-11,46720000000.0
NEM,2021-04-22,52640000000.0
NEM,2021-07-15,50740000000.0
NEM,2021-10-21,45600000000.0
NEM,2022-02-17,53690000000.0
NEM,2022-07-18,43500000000.0
NEM,2022-10-25,33909999999.999996
NEM,2023-02-16,36400000000.0
NEM,2023-04-20,38050000000.0
NEM,2023-07-13,36140000000.0
NEM,2023-10-19,31350000000.0
NEM,2024-04-22,43200000000.0
NEM,2024-07-18,54510000000.0
NEM,2024-10-17,64319999999.99999
