Company,Date,Market Cap
NI,2010-01-29,3940000000.0
NI,2010-04-30,4520000000.0
NI,2010-07-30,4590000000.0
NI,2010-09-30,4840000000.0
NI,2011-01-31,5200000000.0
NI,2011-04-29,5450000000.0
NI,2011-07-29,5650000000.0
NI,2011-09-30,6010000000.0
NI,2012-01-31,6410000000.0
NI,2012-04-26,6950000000.0
NI,2012-07-25,7160000000.0
NI,2012-10-24,7790000000.0
NI,2013-02-12,8410000000.0
NI,2013-04-25,9730000000.0
NI,2013-07-25,9830000000.0
NI,2013-10-24,10070000000.0
NI,2014-02-13,10920000000.0
NI,2014-04-24,11290000000.0
NI,2014-07-24,1400000000.0
NI,2014-10-23,13030000000.0
NI,2015-02-10,14190000000.0
NI,2015-04-23,14150000000.0
NI,2015-07-30,5440000000.0
NI,2015-10-27,6140000000.0
NI,2016-02-10,6870000000.0
NI,2016-04-25,7180000000.0
NI,2016-07-25,8390000000.000001
NI,2016-10-25,7360000000.0
NI,2017-02-14,7200000000.0
NI,2017-04-24,7880000000.0
NI,2017-07-24,8500000000.0
NI,2017-10-23,9030000000.0
NI,2018-02-12,7800000000.0
NI,2018-04-24,8080000000.0
NI,2018-07-24,9360000000.0
NI,2018-10-23,9190000000.0
NI,2019-02-12,9980000000.0
NI,2019-04-24,10260000000.0
NI,2019-07-24,11000000000.0
NI,2017-01-19,619580000.0
NI,2019-10-22,10560000000.0
NI,2020-02-18,11550000000.0
NI,2020-04-29,9930000000.0
NI,2020-07-30,9380000000.0
NI,2020-10-26,9290000000.0
NI,2021-02-09,8760000000.0
NI,2021-04-26,10070000000.0
NI,2021-07-26,9900000000.0
NI,2021-10-25,9810000000.0
NI,2022-02-15,11460000000.0
NI,2022-04-26,12260000000.0
NI,2022-07-26,11850000000.0
NI,2022-10-31,10430000000.0
NI,2023-02-15,11140000000.0
NI,2023-04-25,11830000000.0
NI,2023-07-25,11620000000.0
NI,2023-10-25,10460000000.0
NI,2024-02-14,11360000000.0
NI,2024-04-30,12490000000.0
NI,2024-07-31,14020000000.0
NI,2024-10-22,16230000000.0
