Company,Date,Market Cap
NKE,2010-03-31,29080000000.0
NKE,2010-07-16,27100000000.0
NKE,2010-08-31,33450000000.000004
NKE,2010-11-30,33460000000.0
NKE,2011-02-28,34200000000.000004
NKE,2011-07-18,34880000000.0
NKE,2011-08-31,32380000000.000004
NKE,2011-11-30,35490000000.0
NKE,2012-02-29,39760000000.0
NKE,2012-07-19,34860000000.0
NKE,2012-08-31,35110000000.0
NKE,2012-11-30,69790000000.0
NKE,2012-12-26,37030000000.0
NKE,2013-02-28,38970000000.0
NKE,2013-07-19,45130000000.0
NKE,2013-10-02,51160000000.0
NKE,2014-01-02,55360000000.0
NKE,2014-04-01,52120000000.0
NKE,2014-10-02,61080000000.0
NKE,2015-01-02,65230000000.00001
NKE,2015-04-02,67989999999.99999
NKE,2015-07-17,76470000000.0
NKE,2015-10-01,83550000000.0
NKE,2015-12-24,85260000000.0
NKE,2016-01-04,83050000000.0
NKE,2016-04-01,82010000000.0
NKE,2016-07-15,78030000000.0
NKE,2016-10-06,69520000000.0
NKE,2017-01-03,68890000000.0
NKE,2017-03-31,73650000000.0
NKE,2017-07-17,75930000000.0
NKE,2017-10-03,67030000000.0
NKE,2018-01-02,82400000000.0
NKE,2018-04-02,82250000000.0
NKE,2018-07-20,98550000000.0
NKE,2018-10-03,105030000000.0
NKE,2019-01-03,91580000000.0
NKE,2019-04-01,107110000000.0
NKE,2019-07-19,108350000000.0
NKE,2019-09-30,117030000000.0
NKE,2020-01-02,126970000000.0
NKE,2020-04-02,99380000000.0
NKE,2020-09-28,156000000000.0
NKE,2020-12-28,181100000000.0
NKE,2021-03-26,169560000000.0
NKE,2021-07-09,205560000000.0
NKE,2021-09-28,185670000000.0
NKE,2022-07-08,136389999999.99998
NKE,2022-09-29,120090000000.0
NKE,2022-12-28,143230000000.0
NKE,2023-03-30,147970000000.0
NKE,2023-07-12,132009999999.99998
NKE,2023-09-30,117040000000.0
NKE,2024-03-29,113850000000.0
NKE,2024-07-10,87150000000.0
NKE,2024-09-30,105250000000.0
NKE,2024-12-27,90270000000.0
