Company,Date,Market Cap
NRG,2010-02-17,5920000000.0
NRG,2010-04-26,5950000000.0
NRG,2010-05-05,6050000000.0
NRG,2010-07-29,5680000000.0
NRG,2010-11-01,4880000000.0
NRG,2011-02-16,5140000000.0
NRG,2011-05-02,5820000000.0
NRG,2011-08-01,5900000000.0
NRG,2011-10-31,4930000000.0
NRG,2012-02-22,4000000000.0
NRG,2012-04-30,3870000000.0
NRG,2012-08-06,4460000000.0
NRG,2012-10-31,4920000000.0
NRG,2013-02-21,7740000000.0
NRG,2013-04-30,8990000000.0
NRG,2013-07-31,8660000000.0
NRG,2013-10-31,9230000000.0
NRG,2014-02-26,9340000000.0
NRG,2014-03-31,10350000000.0
NRG,2014-04-30,11030000000.0
NRG,2014-07-31,10460000000.0
NRG,2014-08-30,10400000000.0
NRG,2014-10-31,10140000000.0
NRG,2015-01-31,8330000000.0
NRG,2015-04-30,8420000000.0
NRG,2015-07-31,7420000000.0
NRG,2015-10-31,4050000000.0
NRG,2016-01-31,3350000000.0
NRG,2016-04-30,4760000000.0
NRG,2016-07-31,4360000000.0
NRG,2016-10-31,3350000000.0
NRG,2017-01-31,5230000000.0
NRG,2017-04-30,5340000000.0
NRG,2017-07-31,7790000000.0
NRG,2017-10-31,7920000000.0
NRG,2018-01-31,8260000000.0
NRG,2018-03-31,9610000000.0
NRG,2018-06-30,9320000000.0
NRG,2018-09-30,10840000000.0
NRG,2019-01-31,11500000000.0
NRG,2019-04-30,11000000000.0
NRG,2019-08-07,8420000000.0
NRG,2019-10-31,10090000000.0
NRG,2020-02-27,8539999999.999999
NRG,2020-05-07,7840000000.0
NRG,2020-08-06,8300000000.000001
NRG,2020-11-05,7840000000.0
NRG,2021-03-01,9880000000.0
NRG,2021-05-06,8510000000.0
NRG,2021-08-05,10270000000.0
NRG,2021-11-04,8710000000.0
NRG,2022-02-24,9250000000.0
NRG,2022-04-30,8520000000.0
NRG,2022-07-31,8880000000.0
NRG,2022-10-31,10230000000.0
NRG,2023-02-15,8230000000.0
NRG,2023-04-30,7870000000.0
NRG,2023-07-31,8700000000.0
NRG,2023-10-31,9570000000.0
NRG,2024-02-01,11290000000.0
NRG,2024-04-30,15150000000.0
NRG,2024-07-31,15510000000.0
NRG,2024-10-31,18310000000.0
