Company,Date,Market Cap
NTAP,2010-02-24,10280000000.0
NTAP,2010-06-04,13350000000.0
NTAP,2010-08-13,13620000000.0
NTAP,2010-11-12,19560000000.0
NTAP,2011-02-18,19520000000.0
NTAP,2011-06-10,18190000000.0
NTAP,2011-08-12,16000000000.0
NTAP,2011-11-22,12620000000.0
NTAP,2012-02-21,15610000000.0
NTAP,2012-06-11,10880000000.0
NTAP,2012-08-20,12020000000.0
NTAP,2012-11-19,11070000000.0
NTAP,2013-02-19,13150000000.0
NTAP,2013-06-05,13470000000.0
NTAP,2013-08-20,14200000000.0
NTAP,2013-11-18,13830000000.0
NTAP,2014-02-18,13460000000.0
NTAP,2014-06-04,11730000000.0
NTAP,2014-08-18,13120000000.0
NTAP,2014-11-12,13190000000.0
NTAP,2015-02-11,12400000000.0
NTAP,2015-05-29,10190000000.0
NTAP,2015-08-31,9430000000.0
NTAP,2015-11-18,9070000000.0
NTAP,2016-02-17,6810000000.0
NTAP,2016-06-10,6860000000.0
NTAP,2016-08-24,9700000000.0
NTAP,2016-11-18,10190000000.0
NTAP,2017-02-15,10550000000.0
NTAP,2017-06-09,10740000000.0
NTAP,2017-08-16,11440000000.0
NTAP,2017-11-15,12220000000.0
NTAP,2018-02-14,16250000000.0
NTAP,2018-08-15,21380000000.0
NTAP,2018-11-14,19650000000.0
NTAP,2019-02-13,16629999999.999998
NTAP,2019-06-07,14710000000.0
NTAP,2019-08-14,10640000000.0
NTAP,2019-11-13,13710000000.0
NTAP,2020-02-12,13450000000.0
NTAP,2020-06-05,10660000000.0
NTAP,2020-08-26,9370000000.0
NTAP,2020-12-01,12100000000.0
NTAP,2021-02-24,15930000000.0
NTAP,2021-06-02,17200000000.0
NTAP,2021-08-25,18400000000.0
NTAP,2021-11-30,19760000000.0
NTAP,2022-02-23,18710000000.0
NTAP,2022-06-01,16040000000.0
NTAP,2022-08-24,15830000000.0
NTAP,2022-11-29,15480000000.0
NTAP,2023-02-22,14080000000.0
NTAP,2023-05-31,14090000000.0
NTAP,2023-08-23,15980000000.0
NTAP,2023-11-28,16090000000.0
NTAP,2024-02-23,1800000000.0
NTAP,2024-05-30,23980000000.0
NTAP,2024-08-23,27260000000.0
NTAP,2024-11-21,25750000000.0
