Company,Date,Market Cap
NUE,2010-02-19,13970000000.0
NUE,2010-04-03,14480000000.0
NUE,2010-07-03,11780000000.0
NUE,2010-10-02,12270000000.0
NUE,2011-02-18,15400000000.0
NUE,2011-04-02,14600000000.0
NUE,2011-07-02,13160000000.0
NUE,2012-02-17,13910000000.0
NUE,2012-03-31,13620000000.0
NUE,2012-06-30,12030000000.0
NUE,2012-09-29,12150000000.0
NUE,2013-02-22,14350000000.0
NUE,2013-03-30,14670000000.0
NUE,2013-06-29,13780000000.0
NUE,2013-09-28,15530000000.0
NUE,2014-02-21,16050000000.0
NUE,2014-04-05,16270000000.0
NUE,2014-07-05,16110000000.0
NUE,2014-10-04,16579999999.999998
NUE,2015-02-20,15470000000.0
NUE,2015-04-04,15080000000.0
NUE,2015-07-04,14140000000.0
NUE,2015-10-03,12150000000.0
NUE,2016-02-18,12730000000.0
NUE,2016-04-02,15110000000.0
NUE,2016-07-02,15910000000.0
NUE,2017-02-21,20560000000.0
NUE,2017-09-30,17820000000.0
NUE,2018-02-23,21280000000.0
NUE,2018-03-31,19430000000.0
NUE,2018-06-30,19770000000.0
NUE,2018-09-29,19920000000.0
NUE,2019-02-22,18690000000.0
NUE,2019-03-30,17780000000.0
NUE,2019-06-29,16700000000.0
NUE,2019-09-28,15160000000.0
NUE,2020-02-21,14620000000.0
NUE,2020-04-04,10740000000.0
NUE,2020-07-04,12500000000.0
NUE,2020-10-03,13900000000.0
NUE,2021-02-19,17300000000.0
NUE,2021-04-03,23900000000.0
NUE,2021-07-03,28350000000.0
NUE,2021-10-02,27910000000.0
NUE,2022-02-18,33080000000.0
NUE,2022-04-02,39710000000.0
NUE,2022-07-02,27660000000.0
NUE,2023-02-21,41200000000.0
NUE,2023-09-30,38440000000.0
NUE,2024-02-21,44380000000.0
NUE,2024-03-30,47450000000.0
NUE,2024-06-29,37520000000.0
NUE,2024-09-28,35250000000.0
