Company,Date,Market Cap
NVDA,2010-03-10,9960000000.0
NVDA,2010-05-17,7430000000.0
NVDA,2010-08-25,5690000000.0
NVDA,2010-12-03,8590000000.0
NVDA,2011-03-10,10600000000.0
NVDA,2011-05-23,10850000000.0
NVDA,2011-08-19,7080000000.0
NVDA,2011-11-17,8590000000.0
NVDA,2012-03-09,9130000000.0
NVDA,2012-05-18,7480000000.0
NVDA,2012-08-17,9080000000.0
NVDA,2012-11-16,7110000000.0
NVDA,2013-03-08,7900000000.0
NVDA,2013-05-17,8590000000.0
NVDA,2013-08-16,8790000000.0
NVDA,2013-11-15,9190000000.0
NVDA,2014-03-07,10180000000.0
NVDA,2014-05-16,10020000000.0
NVDA,2014-08-15,10320000000.0
NVDA,2014-11-14,10760000000.0
NVDA,2015-03-06,12400000000.0
NVDA,2015-05-15,11460000000.0
NVDA,2015-08-14,12690000000.0
NVDA,2015-11-13,16030000000.000002
NVDA,2016-03-11,17460000000.0
NVDA,2016-05-23,23710000000.0
NVDA,2016-08-19,33310000000.000004
NVDA,2016-11-18,50320000000.0
NVDA,2017-02-24,59760000000.0
NVDA,2017-05-19,80920000000.0
NVDA,2017-08-18,96900000000.0
NVDA,2017-11-17,128080000000.00002
NVDA,2018-02-26,149180000000.0
NVDA,2018-05-18,149290000000.0
NVDA,2018-08-10,154910000000.0
NVDA,2018-11-09,125460000000.0
NVDA,2019-02-15,95350000000.0
NVDA,2019-05-10,102810000000.0
NVDA,2019-08-09,93900000000.0
NVDA,2019-08-06,4240000000.0
NVDA,2019-11-08,127160000000.0
NVDA,2020-02-14,177350000000.0
NVDA,2020-05-15,208870000000.0
NVDA,2020-08-14,285400000000.0
NVDA,2020-11-13,329230000000.0
NVDA,2021-02-19,370180000000.0
NVDA,2021-05-21,373590000000.0
NVDA,2021-07-20,463810000000.0
NVDA,2021-08-13,504700000000.0
NVDA,2021-11-12,759750000000.0
NVDA,2022-03-11,554710000000.0
NVDA,2022-05-20,417350000000.0
NVDA,2022-08-19,444440000000.0
NVDA,2022-11-11,401640000000.0
NVDA,2023-02-17,528280000000.0
NVDA,2023-05-19,772220000000.0
NVDA,2023-08-18,1069000000000.0
NVDA,2023-11-17,1218000000000.0
NVDA,2024-02-16,1815000000000.0
NVDA,2024-05-24,2619000000000.0
NVDA,2024-08-23,3173000000000.0
NVDA,2024-11-15,3477000000000.0
