Company,Date,Market Cap
NWSA,2013-06-19,12210000000.0
NWSA,2013-09-10,6280000000.0
NWSA,2013-11-04,6730000000.0
NWSA,2014-02-03,5890000000.0
NWSA,2014-05-05,6600000000.0
NWSA,2014-08-08,6510000000.0
NWSA,2014-10-31,5890000000.0
NWSA,2015-01-30,5670000000.0
NWSA,2015-04-30,6050000000.0
NWSA,2015-08-06,5340000000.0
NWSA,2015-10-30,5880000000.0
NWSA,2016-01-29,4940000000.0
NWSA,2016-04-29,4720000000.0
NWSA,2016-08-05,4880000000.0
NWSA,2016-10-31,4630000000.0
NWSA,2017-02-03,4690000000.0
NWSA,2017-05-05,4850000000.0
NWSA,2017-08-07,5480000000.0
NWSA,2017-11-03,5310000000.0
NWSA,2018-02-02,6290000000.0
NWSA,2018-05-04,6190000000.0
NWSA,2018-08-07,5800000000.0
NWSA,2018-11-02,5070000000.0
NWSA,2019-02-01,4910000000.0
NWSA,2019-05-03,4760000000.0
NWSA,2019-08-05,4920000000.0
NWSA,2019-07-25,738950000.0
NWSA,2019-11-01,5350000000.0
NWSA,2020-01-31,5290000000.0
NWSA,2020-08-03,5060000000.0
NWSA,2020-10-30,5130000000.0
NWSA,2021-01-29,7590000000.0
NWSA,2021-04-30,10250000000.0
NWSA,2021-07-30,9640000000.0
NWSA,2021-10-29,9000000000.0
NWSA,2022-01-28,8510000000.0
NWSA,2022-04-29,7710000000.0
NWSA,2022-08-05,6560000000.0
NWSA,2022-11-04,6380000000.0
NWSA,2023-02-03,8090000000.0
NWSA,2023-05-05,6520000000.0
NWSA,2023-08-04,7550000000.0
NWSA,2023-11-03,8350000000.0
NWSA,2024-02-02,9390000000.0
NWSA,2024-05-03,9280000000.0
NWSA,2024-08-02,9950000000.0
NWSA,2024-11-01,10350000000.0
NWSA,2025-01-31,10630000000.0
