Company,Date,Market Cap
NXPI,2010-08-06,3490000000.0
NXPI,2010-12-31,5250000000.0
NXPI,2011-12-31,3870000000.0
NXPI,2012-12-31,6630000000.0
NXPI,2013-08-31,9360000000.0
NXPI,2013-11-30,10700000000.0
NXPI,2013-12-31,11560000000.0
NXPI,2014-12-31,19230000000.0
NXPI,2015-12-31,29150000000.0
NXPI,2016-12-31,33909999999.999996
NXPI,2017-12-31,40510000000.0
NXPI,2018-12-31,24090000000.0
NXPI,2011-04-29,9820000000.0
NXPI,2019-10-25,29590000000.0
NXPI,2020-02-21,36510000000.0
NXPI,2020-04-24,26350000000.0
NXPI,2020-07-24,32320000000.0
NXPI,2020-10-23,38380000000.0
NXPI,2021-02-19,53070000000.0
NXPI,2021-04-23,55580000000.0
NXPI,2021-07-30,54720000000.0
NXPI,2021-10-29,53420000000.0
NXPI,2022-02-18,49120000000.0
NXPI,2022-04-29,44870000000.0
NXPI,2022-07-03,102263.0
NXPI,2023-02-24,45900000000.0
NXPI,2024-02-16,59540000000.0
NXPI,2024-04-26,62050000000.0
NXPI,2024-11-01,60640000000.0
