Company,Date,Market Cap
ODFL,2010-02-26,1150000000.0
ODFL,2010-05-07,1270000000.0
ODFL,2010-08-06,1400000000.0
ODFL,2010-08-24,1330000000.0
ODFL,2010-11-08,1590000000.0
ODFL,2011-02-25,1730000000.0
ODFL,2011-05-09,2150000000.0
ODFL,2011-08-09,1760000000.0
ODFL,2011-11-08,2170000000.0
ODFL,2012-02-28,2510000000.0
ODFL,2012-03-31,2740000000.0
ODFL,2012-08-09,2550000000.0
ODFL,2012-09-10,2660000000.0
ODFL,2012-11-06,3000000000.0
ODFL,2013-02-27,3070000000.0
ODFL,2013-05-08,3450000000.0
ODFL,2013-08-07,3820000000.0
ODFL,2013-11-07,4000000000.0
ODFL,2014-02-27,4550000000.0
ODFL,2014-05-05,5170000000.0
ODFL,2014-08-06,5450000000.0
ODFL,2014-11-04,13900000000.0
ODFL,2015-02-25,6750000000.0
ODFL,2015-05-06,6070000000.0
ODFL,2015-08-05,6320000000.0
ODFL,2015-11-06,5540000000.0
ODFL,2016-02-26,5430000000.0
ODFL,2016-05-05,5250000000.0
ODFL,2016-08-04,5740000000.0
ODFL,2016-11-03,6060000000.0
ODFL,2017-02-24,7560000000.0
ODFL,2017-05-08,7040000000.0
ODFL,2017-08-02,7770000000.0
ODFL,2017-11-03,9970000000.0
ODFL,2018-02-23,11490000000.0
ODFL,2018-05-03,10950000000.0
ODFL,2018-08-06,12010000000.0
ODFL,2018-11-02,10920000000.0
ODFL,2019-02-26,12250000000.0
ODFL,2019-05-06,12440000000.0
ODFL,2019-08-06,13200000000.0
ODFL,2019-11-01,15020000000.0
ODFL,2020-02-24,17250000000.0
ODFL,2020-03-25,16200000000.0
ODFL,2020-05-01,17340000000.0
ODFL,2020-08-04,21710000000.0
ODFL,2020-11-04,23510000000.0
ODFL,2021-02-22,24760000000.0
ODFL,2021-04-30,29900000000.0
ODFL,2021-08-03,31710000000.0
ODFL,2021-11-01,39670000000.0
ODFL,2022-02-21,33080000000.0
ODFL,2022-05-03,31910000000.0
ODFL,2022-08-02,32880000000.000004
ODFL,2023-02-21,37710000000.0
ODFL,2023-05-05,34760000000.0
ODFL,2023-08-03,45130000000.0
ODFL,2023-11-03,42810000000.0
ODFL,2024-05-03,40210000000.0
ODFL,2024-08-02,41810000000.0
ODFL,2024-11-01,42910000000.0
