Company,Date,Market Cap
OKE,2010-02-12,4420000000.0
OKE,2010-04-22,5230000000.0
OKE,2010-07-28,5000000000.0
OKE,2010-10-29,5310000000.0
OKE,2011-02-14,6490000000.0
OKE,2011-04-28,7400000000.0
OKE,2011-07-28,7550000000.0
OKE,2011-10-27,7900000000.0
OKE,2012-02-14,8439999999.999999
OKE,2012-04-27,8880000000.0
OKE,2012-05-22,8750000000.0
OKE,2012-06-04,8210000000.000001
OKE,2012-07-27,9290000000.0
OKE,2012-10-26,9650000000.0
OKE,2013-02-19,9830000000.0
OKE,2013-04-25,10610000000.0
OKE,2013-07-24,8830000000.0
OKE,2013-10-29,11840000000.0
OKE,2014-02-19,12650000000.0
OKE,2014-04-29,13050000000.0
OKE,2014-07-29,13900000000.0
OKE,2014-10-28,12470000000.0
OKE,2015-02-17,10110000000.0
OKE,2015-04-27,10140000000.0
OKE,2015-07-27,7920000000.0
OKE,2015-10-26,7240000000.0
OKE,2016-02-16,4420000000.0
OKE,2016-04-25,7430000000.0
OKE,2016-07-25,9560000000.0
OKE,2016-10-24,10600000000.0
OKE,2017-02-21,11430000000.0
OKE,2017-04-24,11360000000.0
OKE,2017-07-24,20850000000.0
OKE,2017-10-23,21110000000.0
OKE,2018-02-22,23480000000.0
OKE,2018-04-23,24650000000.0
OKE,2018-07-23,28850000000.0
OKE,2018-10-22,27550000000.0
OKE,2019-02-19,28230000000.0
OKE,2019-04-22,28860000000.0
OKE,2019-07-22,28550000000.0
OKE,2019-10-21,28750000000.0
OKE,2020-02-18,31800000000.0
OKE,2020-04-20,11680000000.0
OKE,2020-07-20,12550000000.0
OKE,2020-10-19,12570000000.0
OKE,2021-02-16,20450000000.0
OKE,2021-04-19,23070000000.0
OKE,2021-07-26,23990000000.0
OKE,2021-10-25,29370000000.0
OKE,2022-02-22,26840000000.0
OKE,2022-04-25,29610000000.0
OKE,2022-08-01,26420000000.0
OKE,2022-10-24,25170000000.0
OKE,2023-02-21,29570000000.0
OKE,2023-04-24,29970000000.0
OKE,2023-07-31,30010000000.0
OKE,2023-10-23,38880000000.0
OKE,2024-02-20,41810000000.0
OKE,2024-04-22,46640000000.0
OKE,2024-07-29,48010000000.0
OKE,2024-10-21,56560000000.0
