Company,Date,Market Cap
ORCL,2010-03-23,130449999999.99998
ORCL,2010-06-22,115050000000.0
ORCL,2010-09-13,126230000000.0
ORCL,2010-12-13,153690000000.0
ORCL,2011-03-21,159000000000.0
ORCL,2011-06-20,161640000000.0
ORCL,2011-09-16,147450000000.0
ORCL,2011-12-16,146800000000.0
ORCL,2012-03-19,148060000000.0
ORCL,2012-06-20,139100000000.0
ORCL,2012-09-17,159510000000.0
ORCL,2012-12-14,151310000000.0
ORCL,2013-03-15,171190000000.0
ORCL,2013-06-19,157860000000.0
ORCL,2013-09-13,147940000000.0
ORCL,2013-12-13,149450000000.0
ORCL,2014-03-13,167880000000.0
ORCL,2014-06-19,189380000000.0
ORCL,2014-09-16,182530000000.0
ORCL,2014-12-12,175440000000.0
ORCL,2015-03-12,181760000000.0
ORCL,2015-06-18,185320000000.0
ORCL,2015-09-11,161870000000.0
ORCL,2015-12-11,156330000000.0
ORCL,2016-03-11,161640000000.0
ORCL,2016-06-15,158480000000.0
ORCL,2016-09-12,167010000000.0
ORCL,2016-12-12,166190000000.0
ORCL,2017-03-13,175200000000.0
ORCL,2017-06-16,186520000000.0
ORCL,2017-09-11,219040000000.0
ORCL,2017-12-11,208930000000.0
ORCL,2018-03-15,213790000000.0
ORCL,2018-06-15,184250000000.0
ORCL,2018-09-13,185460000000.0
ORCL,2018-12-14,167240000000.0
ORCL,2019-03-13,181340000000.0
ORCL,2019-06-17,177230000000.0
ORCL,2019-09-10,182400000000.0
ORCL,2019-12-09,177420000000.0
ORCL,2020-03-09,145100000000.0
ORCL,2020-06-16,167520000000.0
ORCL,2020-09-04,167590000000.0
ORCL,2020-12-04,176520000000.0
ORCL,2021-03-05,201760000000.0
ORCL,2021-06-15,227940000000.0
ORCL,2021-09-06,246440000000.0
ORCL,2021-12-06,237510000000.0
ORCL,2022-03-07,198300000000.0
ORCL,2022-06-13,170690000000.0
ORCL,2022-09-08,201230000000.0
ORCL,2022-12-07,212410000000.0
ORCL,2023-03-06,242280000000.0
ORCL,2023-06-12,316020000000.0
ORCL,2023-09-07,342720000000.0
ORCL,2023-12-07,310270000000.0
ORCL,2024-03-07,314810000000.0
ORCL,2024-06-13,385410000000.0
ORCL,2024-09-06,392950000000.0
ORCL,2024-12-06,536150000000.0
