Company,Date,Market Cap
OTIS,2020-04-30,22050000000.0
OTIS,2020-06-30,24620000000.0
OTIS,2020-09-30,27040000000.0
OTIS,2021-01-31,28040000000.0
OTIS,2021-04-15,30460000000.0
OTIS,2021-07-16,36240000000.0
OTIS,2021-10-15,35720000000.0
OTIS,2022-01-21,35320000000.0
OTIS,2022-04-15,31600000000.0
OTIS,2022-07-15,29210000000.0
OTIS,2022-10-14,26710000000.0
OTIS,2023-01-20,33530000000.0
OTIS,2023-04-14,33580000000.0
OTIS,2023-07-14,36530000000.0
OTIS,2023-10-16,32950000000.000004
OTIS,2024-01-19,35590000000.0
OTIS,2024-04-15,38840000000.0
OTIS,2024-07-16,39900000000.0
OTIS,2024-10-15,41740000000.0
OTIS,2025-01-21,37870000000.0
