Company,Date,Market Cap
OXY,2010-01-31,63610000000.0
OXY,2010-03-31,68660000000.0
OXY,2010-06-30,62660000000.0
OXY,2010-09-30,63630000000.0
OXY,2011-01-31,78590000000.0
OXY,2011-03-31,84940000000.0
OXY,2011-06-30,84560000000.0
OXY,2011-09-30,58040000000.0
OXY,2012-01-31,80920000000.0
OXY,2012-03-31,77240000000.0
OXY,2012-06-30,69470000000.0
OXY,2012-09-30,69720000000.0
OXY,2013-01-31,71100000000.0
OXY,2013-03-31,63140000000.0
OXY,2013-06-30,71900000000.0
OXY,2013-09-30,75400000000.0
OXY,2014-01-31,69600000000.0
OXY,2014-03-31,74860000000.0
OXY,2014-06-30,80010000000.0
OXY,2014-09-30,74560000000.0
OXY,2015-01-31,61640000000.0
OXY,2015-03-31,56070000000.0
OXY,2015-06-30,59410000000.0
OXY,2015-09-30,50520000000.0
OXY,2016-01-31,52580000000.0
OXY,2016-03-31,52260000000.0
OXY,2016-06-30,57720000000.0
OXY,2016-09-30,55720000000.0
OXY,2017-01-31,51800000000.0
OXY,2017-03-31,48440000000.0
OXY,2017-06-30,45770000000.0
OXY,2017-09-30,49140000000.0
OXY,2018-01-31,57360000000.0
OXY,2018-03-31,49740000000.0
OXY,2018-06-30,63990000000.0
OXY,2018-09-30,62040000000.0
OXY,2019-01-31,50050000000.0
OXY,2019-03-31,49510000000.0
OXY,2019-07-11,37750000000.0
OXY,2019-09-30,39730000000.0
OXY,2020-01-31,35560000000.0
OXY,2020-04-03,11700000000.0
OXY,2020-07-31,14640000000.0
OXY,2020-09-30,9320000000.0
OXY,2021-01-31,18690000000.0
OXY,2021-03-31,24850000000.0
OXY,2021-06-30,29200000000.0
OXY,2021-09-30,27630000000.0
OXY,2022-01-31,35190000000.0
OXY,2022-03-31,53180000000.0
OXY,2022-06-30,54850000000.0
OXY,2022-09-30,55850000000.0
OXY,2023-01-31,58320000000.0
OXY,2023-04-28,54870000000.0
OXY,2023-06-30,52020000000.0
OXY,2023-09-30,57120000000.0
OXY,2024-01-31,50630000000.0
OXY,2024-04-30,58640000000.0
OXY,2024-07-31,55080000000.0
OXY,2024-10-31,47020000000.0
