Company,Date,Market Cap
PANW,2012-09-30,4179999999.9999995
PANW,2012-11-30,3730000000.0
PANW,2013-02-28,4230000000.0000005
PANW,2013-05-15,3740000000.0
PANW,2013-09-10,3440000000.0
PANW,2013-11-15,3310000000.0
PANW,2014-02-10,5020000000.0
PANW,2014-05-12,4800000000.0
PANW,2014-09-10,7860000000.0
PANW,2014-11-17,8810000000.0
PANW,2015-02-18,11260000000.0
PANW,2015-05-18,13200000000.0
PANW,2015-09-01,13760000000.0
PANW,2015-11-16,13640000000.0
PANW,2016-02-17,11720000000.0
PANW,2016-05-17,12010000000.0
PANW,2016-08-24,12750000000.0
PANW,2016-11-11,14300000000.0
PANW,2017-02-16,14080000000.0
PANW,2017-05-17,10510000000.0
PANW,2017-08-24,12100000000.0
PANW,2017-11-10,12900000000.0
PANW,2018-02-15,14750000000.0
PANW,2018-05-18,18740000000.0
PANW,2018-08-30,21600000000.0
PANW,2018-11-20,15730000000.0
PANW,2019-02-14,21100000000.0
PANW,2019-05-16,21580000000.0
PANW,2019-08-23,19550000000.0
PANW,2019-11-13,23830000000.0
PANW,2020-02-14,24650000000.0
PANW,2020-05-14,21180000000.0
PANW,2020-08-21,25960000000.0
PANW,2020-11-13,24630000000.0
PANW,2021-02-12,38420000000.0
PANW,2021-05-13,31540000000.0
PANW,2021-08-23,36290000000.0
PANW,2021-10-25,48490000000.0
PANW,2021-11-12,50830000000.0
PANW,2022-02-14,51310000000.0
PANW,2022-05-12,47680000000.0
PANW,2022-08-22,50670000000.0
PANW,2022-11-10,49420000000.0
PANW,2023-02-10,50010000000.0
PANW,2023-08-18,64709999999.99999
PANW,2024-02-12,120180000000.0
PANW,2024-05-10,96320000000.0
PANW,2024-08-19,111800000000.0
PANW,2024-11-13,132009999999.99998
