Company,Date,Market Cap
PAYC,2014-04-30,786540000.0
PAYC,2014-07-25,663540000.0
PAYC,2014-10-24,843870000.0
PAYC,2015-01-30,1410000000.0
PAYC,2015-05-01,1860000000.0
PAYC,2015-08-03,1860000000.0
PAYC,2015-11-02,2300000000.0
PAYC,2016-02-01,1850000000.0
PAYC,2016-04-27,2270000000.0
PAYC,2016-07-26,2830000000.0
PAYC,2016-10-26,3110000000.0
PAYC,2017-02-06,2650000000.0
PAYC,2017-04-25,3600000000.0
PAYC,2017-07-26,4219999999.9999995
PAYC,2017-10-25,4720000000.0
PAYC,2018-02-05,4980000000.0
PAYC,2018-07-25,6600000000.0
PAYC,2018-10-24,7240000000.0
PAYC,2019-02-05,9200000000.0
PAYC,2019-04-25,11500000000.0
PAYC,2019-07-25,13740000000.0
PAYC,2017-07-14,14290000000.0
PAYC,2019-10-24,11880000000.0
PAYC,2020-02-04,19870000000.0
PAYC,2020-04-21,12190000000.0
PAYC,2020-07-28,16790000000.0
PAYC,2020-10-27,22390000000.0
PAYC,2021-02-09,26060000000.0
PAYC,2021-04-27,24090000000.0
PAYC,2021-07-27,23350000000.0
PAYC,2021-10-26,32250000000.0
PAYC,2022-02-08,20170000000.0
PAYC,2022-04-26,17160000000.0
PAYC,2022-07-26,18180000000.0
PAYC,2022-10-25,20240000000.0
PAYC,2023-02-07,20780000000.0
PAYC,2023-07-25,21390000000.0
PAYC,2023-10-24,15750000000.0
PAYC,2024-04-23,10930000000.0
PAYC,2024-07-23,9500000000.0
PAYC,2024-10-22,9590000000.0
