Company,Date,Market Cap
PAYX,2010-02-28,10820000000.0
PAYX,2010-06-30,9390000000.0
PAYX,2010-08-31,9000000000.0
PAYX,2010-11-30,10320000000.0
PAYX,2011-02-28,12170000000.0
PAYX,2011-06-30,11120000000.0
PAYX,2011-08-31,9780000000.0
PAYX,2011-11-30,10550000000.0
PAYX,2012-02-29,11350000000.0
PAYX,2012-06-30,11390000000.0
PAYX,2012-08-31,12090000000.0
PAYX,2012-11-30,11840000000.0
PAYX,2013-02-28,12050000000.0
PAYX,2013-06-30,13350000000.0
PAYX,2013-08-31,14130000000.0
PAYX,2013-11-30,15930000000.0
PAYX,2014-02-28,15190000000.0
PAYX,2014-06-30,15090000000.0
PAYX,2014-08-31,15110000000.0
PAYX,2014-11-30,17220000000.0
PAYX,2015-02-28,18100000000.0
PAYX,2015-06-30,16930000000.0
PAYX,2015-08-31,16100000000.000002
PAYX,2015-11-30,19580000000.0
PAYX,2016-02-29,18510000000.0
PAYX,2016-06-30,21450000000.0
PAYX,2016-08-31,21940000000.0
PAYX,2016-11-30,21150000000.0
PAYX,2017-02-28,22070000000.0
PAYX,2017-06-30,20460000000.0
PAYX,2017-09-29,21530000000.0
PAYX,2017-11-30,24180000000.0
PAYX,2018-02-28,23400000000.0
PAYX,2018-06-30,24540000000.0
PAYX,2018-09-30,26450000000.0
PAYX,2018-11-30,25410000000.0
PAYX,2019-02-28,27680000000.0
PAYX,2019-06-30,29570000000.0
PAYX,2019-07-29,2930000000.0
PAYX,2019-09-30,29630000000.0
PAYX,2019-11-30,30860000000.0
PAYX,2020-02-29,27790000000.0
PAYX,2020-06-30,27180000000.0
PAYX,2020-09-30,28680000000.0
PAYX,2020-11-30,33590000000.000004
PAYX,2021-03-31,35320000000.0
PAYX,2021-06-30,38610000000.0
PAYX,2021-08-31,41280000000.0
PAYX,2021-11-30,43000000000.0
PAYX,2022-02-28,42980000000.0
PAYX,2022-06-30,40980000000.0
PAYX,2022-08-31,44450000000.0
PAYX,2022-11-30,44710000000.0
PAYX,2023-02-28,39800000000.0
PAYX,2023-06-30,40330000000.0
PAYX,2023-08-31,44150000000.0
PAYX,2023-11-30,43890000000.0
PAYX,2024-02-29,44140000000.0
PAYX,2024-06-30,42700000000.0
PAYX,2024-08-31,47220000000.0
PAYX,2024-11-30,52670000000.0
