Company,Date,Market Cap
PCAR,2010-01-31,13120000000.0
PCAR,2010-04-30,16980000000.0
PCAR,2010-07-31,16700000000.0
PCAR,2010-10-31,18690000000.0
PCAR,2011-01-31,20640000000.0
PCAR,2011-04-30,19410000000.0
PCAR,2011-07-31,15650000000.0
PCAR,2011-10-31,15490000000.0
PCAR,2012-01-31,15770000000.0
PCAR,2012-04-30,15320000000.0
PCAR,2012-07-31,14140000000.0
PCAR,2012-10-31,15310000000.0
PCAR,2013-01-31,16629999999.999998
PCAR,2013-04-30,17610000000.0
PCAR,2013-07-31,19920000000.0
PCAR,2013-10-31,19690000000.0
PCAR,2014-01-31,19850000000.0
PCAR,2014-04-30,22690000000.0
PCAR,2014-07-31,22090000000.0
PCAR,2014-10-31,23130000000.0
PCAR,2015-01-31,21310000000.0
PCAR,2015-04-30,23190000000.0
PCAR,2015-07-31,23020000000.0
PCAR,2015-10-31,18610000000.0
PCAR,2016-01-31,17240000000.0
PCAR,2016-04-30,20650000000.0
PCAR,2016-07-31,20670000000.0
PCAR,2016-10-31,19250000000.0
PCAR,2017-01-31,23620000000.0
PCAR,2017-04-30,23440000000.0
PCAR,2017-07-31,24050000000.0
PCAR,2017-10-31,25220000000.0
PCAR,2018-01-31,26240000000.0
PCAR,2018-04-30,22400000000.0
PCAR,2018-07-31,23040000000.0
PCAR,2018-10-31,19990000000.0
PCAR,2019-01-31,22720000000.0
PCAR,2019-04-30,24830000000.0
PCAR,2019-07-31,24290000000.0
PCAR,2019-10-25,26600000000.0
PCAR,2020-01-31,25700000000.0
PCAR,2020-04-30,23930000000.0
PCAR,2020-07-30,29290000000.0
PCAR,2020-10-29,29680000000.0
PCAR,2021-01-31,31650000000.0
PCAR,2021-04-29,31900000000.0
PCAR,2021-07-29,28920000000.0
PCAR,2021-10-28,31040000000.0
PCAR,2022-01-31,32320000000.0
PCAR,2022-04-28,29570000000.0
PCAR,2022-07-28,31640000000.0
PCAR,2022-10-25,31900000000.0
PCAR,2023-02-10,38140000000.0
PCAR,2023-04-28,39030000000.0
PCAR,2023-07-28,44620000000.0
PCAR,2023-10-30,43740000000.0
PCAR,2024-02-09,55540000000.0
PCAR,2024-04-29,59560000000.0
PCAR,2024-10-25,55520000000.0
