Company,Date,Market Cap
PEG,2010-01-29,15480000000.0
PEG,2010-04-15,15530000000.0
PEG,2010-07-15,17070000000.0
PEG,2011-01-31,16410000000.0
PEG,2011-04-15,15780000000.0
PEG,2011-07-15,16110000000.0
PEG,2011-10-14,16730000000.0
PEG,2012-01-31,15350000000.0
PEG,2012-04-17,15340000000.0
PEG,2012-07-17,16489999999.999998
PEG,2012-10-16,16530000000.000002
PEG,2013-01-31,15780000000.0
PEG,2013-04-16,17730000000.0
PEG,2013-07-16,17020000000.0
PEG,2013-10-15,16840000000.0
PEG,2014-01-31,16879999999.999998
PEG,2014-04-15,20030000000.0
PEG,2014-07-15,18880000000.0
PEG,2014-10-15,18930000000.0
PEG,2015-01-30,21600000000.0
PEG,2015-04-21,20850000000.0
PEG,2015-07-21,20600000000.0
PEG,2015-10-20,22040000000.0
PEG,2016-02-19,21760000000.0
PEG,2016-04-19,23840000000.0
PEG,2016-07-19,23200000000.0
PEG,2016-10-18,21150000000.0
PEG,2017-02-17,22020000000.0
PEG,2017-04-18,22940000000.0
PEG,2017-07-18,22040000000.0
PEG,2017-10-17,24590000000.0
PEG,2018-02-16,24950000000.0
PEG,2018-04-17,25700000000.0
PEG,2018-07-17,26150000000.0
PEG,2018-10-16,27210000000.0
PEG,2019-02-15,28440000000.0
PEG,2019-04-16,29690000000.0
PEG,2019-07-16,30600000000.0
PEG,2019-10-15,31280000000.0
PEG,2020-02-21,30290000000.0
PEG,2024-04-16,32020000000.000004
PEG,2024-07-16,37130000000.0
PEG,2024-10-22,44730000000.0
