Company,Date,Market Cap
PFG,2010-02-10,7000000000.0
PFG,2010-04-28,9350000000.0
PFG,2010-07-28,7980000000.0
PFG,2010-10-27,8730000000.0
PFG,2011-02-09,10430000000.0
PFG,2011-04-27,10530000000.0
PFG,2011-07-27,8600000000.0
PFG,2011-10-26,8050000000.000001
PFG,2012-02-08,8060000000.000001
PFG,2012-04-25,8620000000.0
PFG,2012-07-25,7400000000.0
PFG,2012-10-24,8210000000.000001
PFG,2013-02-06,8980000000.0
PFG,2013-04-24,10450000000.0
PFG,2013-07-24,11800000000.0
PFG,2013-10-23,13610000000.0
PFG,2014-02-05,12520000000.0
PFG,2014-04-23,13290000000.0
PFG,2014-07-23,15200000000.0
PFG,2014-10-22,14640000000.0
PFG,2015-02-04,14250000000.0
PFG,2015-04-22,15230000000.0
PFG,2015-07-22,15640000000.0
PFG,2015-10-21,14250000000.0
PFG,2016-02-03,10360000000.0
PFG,2016-04-27,12760000000.0
PFG,2016-07-27,12840000000.0
PFG,2016-10-26,15250000000.0
PFG,2017-02-01,16440000000.000002
PFG,2017-04-26,18540000000.0
PFG,2017-07-26,19260000000.0
PFG,2017-10-25,19540000000.0
PFG,2017-12-18,20390000000.0
PFG,2018-02-02,19220000000.0
PFG,2018-04-25,17490000000.0
PFG,2018-07-25,15670000000.0
PFG,2018-10-24,13850000000.0
PFG,2019-01-30,13400000000.0
PFG,2019-04-24,15350000000.0
PFG,2019-07-24,16890000000.0
PFG,2019-10-23,15920000000.0
PFG,2020-01-31,14540000000.0
PFG,2020-04-22,7960000000.0
PFG,2020-07-22,12350000000.0
PFG,2020-10-21,11290000000.0
PFG,2021-01-29,13430000000.0
PFG,2021-04-22,16770000000.0
PFG,2021-07-22,16640000000.0
PFG,2021-10-21,18290000000.0
PFG,2022-01-28,18830000000.0
PFG,2022-04-27,17670000000.0
PFG,2022-10-26,19790000000.0
PFG,2023-01-30,22700000000.0
PFG,2023-04-25,17760000000.0
PFG,2023-07-25,20030000000.0
PFG,2024-04-23,19100000000.0
PFG,2024-10-22,20570000000.0
