Company,Date,Market Cap
PGR,2010-01-31,11130000000.0
PGR,2010-04-30,13470000000.0
PGR,2010-06-30,12500000000.0
PGR,2010-09-30,13840000000.0
PGR,2011-01-31,13080000000.0
PGR,2011-03-31,13860000000.0
PGR,2011-06-30,13740000000.0
PGR,2011-09-30,11020000000.0
PGR,2012-01-31,12400000000.0
PGR,2012-03-31,14170000000.0
PGR,2012-06-30,12690000000.0
PGR,2012-09-30,12540000000.0
PGR,2013-01-31,13580000000.0
PGR,2013-03-31,15240000000.0
PGR,2013-06-30,15260000000.0
PGR,2013-09-30,16340000000.0
PGR,2014-01-31,13830000000.0
PGR,2014-04-30,14360000000.0
PGR,2014-06-30,15000000000.0
PGR,2014-09-30,14900000000.0
PGR,2015-01-30,15280000000.0
PGR,2015-04-30,15640000000.0
PGR,2015-06-30,16309999999.999998
PGR,2015-09-30,17910000000.0
PGR,2016-01-31,18260000000.0
PGR,2016-03-31,20490000000.0
PGR,2016-06-30,19490000000.0
PGR,2016-09-30,18290000000.0
PGR,2017-01-31,21750000000.0
PGR,2017-03-31,22760000000.0
PGR,2017-06-30,25620000000.0
PGR,2017-09-30,28160000000.0
PGR,2018-01-31,31500000000.0
PGR,2018-03-31,35480000000.0
PGR,2018-06-30,34460000000.0
PGR,2018-09-30,41430000000.0
PGR,2019-01-31,39290000000.0
PGR,2019-03-31,42100000000.0
PGR,2019-07-31,47340000000.0
PGR,2019-10-31,40750000000.0
PGR,2020-01-31,47220000000.0
PGR,2020-03-31,43220000000.0
PGR,2020-06-30,46900000000.0
PGR,2020-09-30,55440000000.0
PGR,2021-01-31,51070000000.0
PGR,2021-03-31,55950000000.0
PGR,2021-06-30,57470000000.0
PGR,2021-09-30,52880000000.0
PGR,2022-01-31,63550000000.0
PGR,2022-03-31,66670000000.0
PGR,2022-06-30,68010000000.00001
PGR,2022-09-30,67989999999.99999
PGR,2023-01-31,79810000000.0
PGR,2023-06-30,77480000000.0
PGR,2023-09-30,81500000000.0
PGR,2024-01-31,104400000000.0
PGR,2024-03-31,121130000000.0
PGR,2024-06-30,121650000000.0
PGR,2024-10-03,147780000000.0
