Company,Date,Market Cap
PHM,2010-02-15,4490000000.0
PHM,2010-04-30,5010000000.0
PHM,2010-07-31,3360000000.0
PHM,2010-10-31,3000000000.0
PHM,2011-02-01,3090000000.0
PHM,2011-04-22,2980000000.0
PHM,2011-07-22,2810000000.0
PHM,2011-10-21,1880000000.0
PHM,2012-02-01,3000000000.0
PHM,2012-04-20,3210000000.0
PHM,2012-07-20,4170000000.0
PHM,2012-10-19,6910000000.0
PHM,2013-02-01,7870000000.0
PHM,2013-04-19,6970000000.0
PHM,2013-07-19,7520000000.0
PHM,2013-10-18,6350000000.0
PHM,2014-04-18,7080000000.0
PHM,2014-07-18,7330000000.0
PHM,2014-10-17,6760000000.0
PHM,2015-02-02,7570000000.0
PHM,2015-04-17,8090000000.0
PHM,2015-07-17,7090000000.0
PHM,2015-10-16,6670000000.0
PHM,2016-02-01,5760000000.0
PHM,2016-04-15,6450000000.0
PHM,2016-07-15,7000000000.0
PHM,2016-10-14,6430000000.0
PHM,2017-01-26,6730000000.0
PHM,2017-04-20,7360000000.0
PHM,2017-07-20,7330000000.0
PHM,2017-10-19,8170000000.0
PHM,2018-02-01,9010000000.0
PHM,2018-04-19,8210000000.000001
PHM,2018-07-19,8890000000.0
PHM,2018-10-18,6300000000.0
PHM,2019-01-24,7400000000.0
PHM,2019-04-18,8420000000.0
PHM,2019-07-18,9170000000.0
PHM,2019-07-26,1780000000.0
PHM,2019-10-17,10360000000.0
PHM,2020-01-23,11840000000.0
PHM,2020-04-16,6510000000.0
PHM,2020-07-16,9860000000.0
PHM,2020-10-15,13110000000.0
PHM,2021-01-21,12650000000.0
PHM,2021-04-20,13810000000.0
PHM,2021-07-20,13550000000.0
PHM,2021-10-20,12710000000.0
PHM,2022-01-20,13020000000.0
PHM,2022-04-19,10380000000.0
PHM,2022-07-19,10310000000.0
PHM,2022-10-18,9030000000.0
PHM,2023-01-18,11500000000.0
PHM,2023-04-18,13970000000.0
PHM,2023-07-18,18000000000.0
PHM,2023-10-17,15840000000.0
PHM,2024-04-16,22480000000.0
PHM,2024-07-16,25850000000.0
PHM,2024-10-15,29660000000.0
PHM,2025-01-23,23590000000.0
