Company,Date,Market Cap
PH,2010-03-31,10430000000.0
PH,2010-07-31,10010000000.0
PH,2010-09-30,11300000000.0
PH,2010-12-31,13970000000.0
PH,2011-03-31,15350000000.0
PH,2011-07-31,12250000000.0
PH,2011-09-30,9540000000.0
PH,2011-12-31,11510000000.0
PH,2012-03-31,12770000000.0
PH,2012-07-31,12000000000.0
PH,2012-09-30,12470000000.0
PH,2012-12-31,12690000000.0
PH,2013-03-31,13670000000.0
PH,2013-07-31,15410000000.0
PH,2013-09-30,16219999999.999998
PH,2013-12-31,19180000000.0
PH,2014-03-31,17830000000.0
PH,2014-07-31,17100000000.000002
PH,2014-09-30,16969999999.999998
PH,2014-12-31,18370000000.0
PH,2015-03-31,16469999999.999998
PH,2015-08-31,14900000000.0
PH,2015-09-30,13230000000.0
PH,2015-12-31,13100000000.0
PH,2016-03-31,14960000000.0
PH,2016-07-31,15290000000.0
PH,2016-09-30,16750000000.0
PH,2016-12-31,18660000000.0
PH,2017-03-31,21350000000.0
PH,2017-07-31,22100000000.0
PH,2017-09-30,23320000000.0
PH,2017-12-31,26550000000.0
PH,2018-03-31,22740000000.0
PH,2018-07-31,22380000000.0
PH,2018-09-30,24340000000.0
PH,2018-12-31,19290000000.0
PH,2019-03-31,22020000000.0
PH,2019-07-31,22490000000.0
PH,2019-08-01,2600000000.0
PH,2019-09-30,23200000000.0
PH,2019-12-31,26420000000.0
PH,2020-03-31,16629999999.999998
PH,2020-07-31,23000000000.0
PH,2020-09-30,26060000000.0
PH,2020-12-31,35160000000.0
PH,2021-03-31,40710000000.0
PH,2021-07-31,40280000000.0
PH,2021-09-30,35940000000.0
PH,2021-12-31,40870000000.0
PH,2022-03-31,36430000000.0
PH,2022-07-31,37120000000.0
PH,2022-09-30,31110000000.0
PH,2022-12-31,37330000000.0
PH,2023-03-31,43120000000.0
PH,2023-09-30,50040000000.0
PH,2023-12-31,59160000000.0
PH,2024-03-31,71440000000.0
PH,2024-07-31,72160000000.0
PH,2024-09-30,81330000000.0
PH,2024-12-31,81900000000.0
