Company,Date,Market Cap
PLD,2010-02-17,3500000000.0
PLD,2010-04-28,4680000000.0
PLD,2010-08-02,4390000000.0
PLD,2010-11-01,4800000000.0
PLD,2011-02-16,5970000000.0
PLD,2011-05-05,6090000000.0
PLD,2011-08-02,14990000000.0
PLD,2011-11-01,12720000000.0
PLD,2012-02-22,15100000000.0
PLD,2012-05-01,16550000000.0
PLD,2012-08-01,14920000000.0
PLD,2012-11-01,15790000000.0
PLD,2013-02-22,18240000000.0
PLD,2013-05-01,20880000000.0
PLD,2013-08-01,19130000000.0
PLD,2013-10-30,19970000000.0
PLD,2014-02-21,20290000000.0
PLD,2014-05-01,20460000000.0
PLD,2014-08-01,20270000000.0
PLD,2014-10-31,20820000000.0
PLD,2015-02-20,22030000000.0
PLD,2015-04-27,22250000000.0
PLD,2015-07-27,20940000000.0
PLD,2015-10-27,22610000000.0
PLD,2016-02-12,18930000000.0
PLD,2016-07-22,27700000000.0
PLD,2016-10-28,27000000000.0
PLD,2017-02-10,26530000000.0
PLD,2017-04-21,28820000000.0
PLD,2017-07-24,32070000000.0
PLD,2017-10-25,34070000000.0
PLD,2018-02-12,32060000000.000004
PLD,2018-04-19,34780000000.0
PLD,2018-07-19,33860000000.0
PLD,2018-10-18,39700000000.0
PLD,2019-02-11,44780000000.0
PLD,2019-04-18,46410000000.0
PLD,2019-07-17,51510000000.0
PLD,2019-07-31,3070000000.0
PLD,2019-10-17,56330000000.0
PLD,2020-02-04,69010000000.0
PLD,2020-04-27,67830000000.0
PLD,2020-07-24,73810000000.0
PLD,2020-10-23,76320000000.0
PLD,2021-07-23,94540000000.0
PLD,2021-10-22,106460000000.0
PLD,2022-02-07,112520000000.0
PLD,2022-04-22,124910000000.0
PLD,2022-08-04,96800000000.0
PLD,2022-10-24,95420000000.0
PLD,2023-02-13,119390000000.0
PLD,2023-04-26,109960000000.0
PLD,2023-07-24,117340000000.0
PLD,2023-10-25,91230000000.0
PLD,2024-02-09,122530000000.0
PLD,2024-04-22,96360000000.0
PLD,2024-07-24,113960000000.0
PLD,2024-10-23,111910000000.0
