Company,Date,Market Cap
PNC,2010-02-26,27820000000.0
PNC,2010-04-30,35360000000.0
PNC,2010-07-30,31200000000.0
PNC,2010-10-29,28340000000.0
PNC,2011-02-18,33630000000.000004
PNC,2011-04-29,32810000000.000004
PNC,2011-07-29,28570000000.0
PNC,2011-10-28,28970000000.0
PNC,2012-02-17,32259999999.999996
PNC,2012-05-02,35290000000.0
PNC,2012-08-01,31290000000.0
PNC,2012-10-31,30780000000.0
PNC,2013-02-15,33750000000.0
PNC,2013-04-30,35940000000.0
PNC,2013-07-31,40420000000.0
PNC,2013-10-31,39130000000.0
PNC,2014-02-19,42550000000.0
PNC,2014-04-20,44740000000.0
PNC,2014-07-25,45850000000.0
PNC,2014-10-24,43420000000.0
PNC,2015-02-13,48100000000.0
PNC,2015-04-24,47130000000.0
PNC,2015-07-24,50510000000.0
PNC,2015-10-23,46330000000.0
PNC,2016-02-12,40550000000.0
PNC,2016-04-22,43990000000.0
PNC,2016-07-22,40700000000.0
PNC,2016-10-21,45210000000.0
PNC,2017-02-10,59850000000.0
PNC,2017-04-21,57180000000.0
PNC,2017-07-21,60500000000.0
PNC,2017-10-20,65160000000.0
PNC,2018-02-09,71540000000.0
PNC,2018-04-20,67660000000.0
PNC,2018-07-20,66160000000.0
PNC,2018-10-19,57750000000.0
PNC,2019-02-08,55000000000.0
PNC,2019-04-19,60130000000.0
PNC,2019-07-19,61820000000.0
PNC,2019-10-17,62510000000.0
PNC,2020-02-06,65530000000.0
PNC,2020-04-16,38410000000.0
PNC,2020-07-17,43730000000.0
PNC,2020-10-16,47230000000.0
PNC,2021-02-05,66550000000.0
PNC,2021-04-16,75990000000.0
PNC,2021-07-16,77960000000.0
PNC,2021-10-15,84160000000.0
PNC,2022-02-04,88020000000.0
PNC,2022-04-13,73800000000.0
PNC,2022-07-13,63290000000.0
PNC,2022-10-17,62860000000.0
PNC,2023-02-03,66099999999.99999
PNC,2023-04-18,49790000000.0
PNC,2023-10-17,47450000000.0
PNC,2024-02-02,58930000000.0
PNC,2024-04-15,59510000000.0
PNC,2024-07-15,67180000000.00001
PNC,2024-10-16,75360000000.0
