Company,Date,Market Cap
PRU,2010-01-31,23150000000.0
PRU,2010-04-30,29490000000.0
PRU,2010-07-31,26640000000.0
PRU,2010-10-31,24450000000.0
PRU,2011-01-31,29770000000.0
PRU,2011-04-30,30820000000.0
PRU,2011-07-31,28400000000.0
PRU,2011-10-31,25470000000.0
PRU,2012-01-31,26790000000.0
PRU,2012-04-30,28270000000.0
PRU,2012-07-31,22400000000.0
PRU,2012-10-31,26360000000.0
PRU,2013-01-31,26800000000.0
PRU,2013-04-30,28030000000.0
PRU,2013-07-31,36560000000.0
PRU,2013-10-31,37520000000.0
PRU,2014-01-31,39070000000.0
PRU,2014-04-30,37110000000.0
PRU,2014-07-31,39830000000.0
PRU,2014-10-31,40370000000.0
PRU,2015-01-31,34450000000.0
PRU,2015-04-30,36960000000.0
PRU,2015-07-31,39850000000.0
PRU,2015-10-31,37040000000.0
PRU,2016-01-31,31260000000.0
PRU,2016-04-30,34320000000.0
PRU,2016-07-31,32900000000.0
PRU,2016-10-31,36460000000.0
PRU,2017-01-31,45200000000.0
PRU,2017-04-30,45920000000.0
PRU,2017-07-31,48350000000.0
PRU,2017-10-31,46840000000.0
PRU,2018-01-31,50140000000.0
PRU,2018-04-30,44650000000.0
PRU,2018-07-31,42080000000.0
PRU,2018-10-31,38730000000.0
PRU,2019-01-31,37690000000.0
PRU,2019-04-30,42920000000.0
PRU,2019-07-31,40730000000.0
PRU,2018-12-31,893770000000.0
PRU,2019-10-31,36640000000.0
PRU,2020-01-31,36150000000.0
PRU,2020-04-30,24640000000.0
PRU,2020-07-31,25030000000.0
PRU,2020-10-31,25350000000.0
PRU,2021-01-31,31080000000.0
PRU,2021-04-30,39540000000.0
PRU,2021-07-31,38710000000.0
PRU,2021-10-31,41600000000.0
PRU,2022-01-31,41950000000.0
PRU,2022-04-30,40690000000.0
PRU,2022-07-31,37200000000.0
PRU,2022-10-31,38710000000.0
PRU,2023-01-31,38410000000.0
PRU,2023-04-30,31750000000.0
PRU,2023-07-31,35030000000.0
PRU,2023-10-31,33009999999.999996
PRU,2024-01-31,37670000000.0
PRU,2024-04-30,39660000000.0
PRU,2024-07-31,44740000000.0
PRU,2024-10-28,44710000000.0
