Company,Date,Market Cap
PSA,2010-02-25,13890000000.0
PSA,2010-05-05,16469999999.999998
PSA,2010-08-04,17350000000.0
PSA,2010-11-04,17870000000.0
PSA,2011-02-24,18570000000.0
PSA,2011-05-04,19850000000.0
PSA,2011-08-03,19980000000.0
PSA,2011-11-02,21790000000.0
PSA,2012-02-22,23330000000.0
PSA,2012-05-02,24950000000.0
PSA,2012-08-01,25500000000.0
PSA,2012-11-07,24600000000.0
PSA,2013-02-22,26170000000.0
PSA,2013-05-08,28450000000.0
PSA,2013-08-01,27740000000.0
PSA,2013-11-04,29020000000.0
PSA,2014-02-21,28650000000.0
PSA,2014-05-01,30400000000.0
PSA,2014-08-01,29810000000.0
PSA,2015-02-19,34350000000.0
PSA,2015-05-04,33049999999.999996
PSA,2015-08-03,35550000000.0
PSA,2015-11-03,40460000000.0
PSA,2016-02-24,43300000000.0
PSA,2016-05-04,44640000000.0
PSA,2016-08-03,40480000000.0
PSA,2016-10-31,37070000000.0
PSA,2017-02-27,39600000000.0
PSA,2017-05-02,36030000000.0
PSA,2017-07-27,34500000000.0
PSA,2017-10-30,36330000000.0
PSA,2018-02-26,34130000000.000004
PSA,2018-05-01,35630000000.0
PSA,2018-07-30,37370000000.0
PSA,2018-10-29,35930000000.0
PSA,2019-02-25,35150000000.0
PSA,2019-04-29,37900000000.0
PSA,2019-07-29,42380000000.0
PSA,2019-10-28,40630000000.0
PSA,2020-02-21,39460000000.0
PSA,2020-04-27,33729999999.999996
PSA,2020-08-03,34229999999.999996
PSA,2020-11-02,40700000000.0
PSA,2021-02-19,41050000000.0
PSA,2021-04-26,48140000000.0
PSA,2021-07-30,54760000000.0
PSA,2021-10-28,58150000000.0
PSA,2022-02-18,60280000000.0
PSA,2022-04-28,70030000000.0
PSA,2022-08-01,56950000000.0
PSA,2022-10-27,52310000000.0
PSA,2023-02-16,52650000000.0
PSA,2023-04-28,51830000000.0
PSA,2023-07-28,49500000000.0
PSA,2023-10-23,43600000000.0
PSA,2024-02-13,48600000000.0
PSA,2024-04-23,46080000000.0
PSA,2024-07-23,52850000000.0
PSA,2024-10-23,59500000000.0
