Company,Date,Market Cap
PTC,2010-02-05,1920000000.0
PTC,2010-05-07,1930000000.0
PTC,2010-08-06,2100000000.0
PTC,2010-11-18,2560000000.0
PTC,2011-02-04,2740000000.0
PTC,2011-05-06,2710000000.0
PTC,2011-08-04,2260000000.0
PTC,2011-11-17,2430000000.0
PTC,2012-02-03,3090000000.0
PTC,2012-03-30,3340000000.0
PTC,2012-05-04,2530000000.0
PTC,2012-07-26,2230000000.0
PTC,2012-11-12,2360000000.0
PTC,2013-02-04,2760000000.0
PTC,2013-05-03,2840000000.0
PTC,2013-08-02,3250000000.0
PTC,2013-11-18,3830000000.0
PTC,2014-02-03,4070000000.0000005
PTC,2014-05-05,4200000000.0
PTC,2014-08-04,4300000000.0
PTC,2014-11-24,4460000000.0
PTC,2015-02-09,3870000000.0
PTC,2015-04-02,4160000000.0
PTC,2015-05-07,4380000000.0
PTC,2015-08-10,4170000000.0
PTC,2015-11-20,4200000000.0
PTC,2016-02-08,3170000000.0
PTC,2016-05-09,4080000000.0
PTC,2016-08-08,4720000000.0
PTC,2016-11-16,5500000000.0
PTC,2017-02-07,6230000000.0
PTC,2017-05-09,6220000000.0
PTC,2017-08-04,6250000000.0
PTC,2017-11-27,7600000000.0
PTC,2018-02-02,8250000000.0
PTC,2018-04-30,9500000000.0
PTC,2018-07-27,11200000000.0
PTC,2018-11-15,10610000000.0
PTC,2019-02-05,10410000000.0
PTC,2019-05-07,9940000000.0
PTC,2019-08-07,7500000000.0
PTC,2019-11-15,8560000000.000001
PTC,2020-01-23,9830000000.0
PTC,2020-05-04,7770000000.0
PTC,2020-08-03,10030000000.0
PTC,2020-11-18,11470000000.0
PTC,2021-02-02,16120000000.000002
PTC,2021-04-30,15300000000.0
PTC,2021-08-02,15390000000.0
PTC,2021-11-17,14100000000.0
PTC,2022-02-03,13290000000.0
PTC,2022-05-04,13800000000.0
PTC,2022-08-04,14200000000.0
PTC,2022-11-14,15310000000.0
PTC,2023-02-06,15530000000.0
PTC,2023-05-02,14830000000.0
PTC,2023-08-02,17079999999.999998
PTC,2023-11-16,18220000000.0
PTC,2024-01-31,21600000000.0
PTC,2024-05-01,20950000000.0
PTC,2024-07-31,21370000000.0
PTC,2024-11-12,23180000000.0
PTC,2025-02-04,22990000000.0
