Company,Date,Market Cap
PWR,2010-02-18,3770000000.0
PWR,2010-05-03,4240000000.0
PWR,2010-08-02,4580000000.0
PWR,2010-11-02,4210000000.0
PWR,2011-02-18,5010000000.0
PWR,2011-04-27,4440000000.0
PWR,2011-07-29,3840000000.0
PWR,2011-10-28,4470000000.0
PWR,2012-02-20,4510000000.0
PWR,2012-04-30,4630000000.0
PWR,2012-07-31,4810000000.0
PWR,2012-10-31,5730000000.0
PWR,2013-02-20,5890000000.0
PWR,2013-04-30,5760000000.0
PWR,2013-07-31,5640000000.0
PWR,2013-10-31,6420000000.0
PWR,2014-02-21,7360000000.0
PWR,2014-04-30,7530000000.0
PWR,2014-07-28,7420000000.0
PWR,2014-11-03,7170000000.0
PWR,2015-02-23,5870000000.0
PWR,2015-05-01,5770000000.0
PWR,2015-08-04,5380000000.0
PWR,2015-11-05,3170000000.0
PWR,2016-02-23,2860000000.0
PWR,2016-05-02,3450000000.0
PWR,2016-08-03,3670000000.0
PWR,2016-11-01,4099999999.9999995
PWR,2017-02-21,5580000000.0
PWR,2017-05-03,5190000000.0
PWR,2017-08-02,5170000000.0
PWR,2017-11-02,5660000000.0
PWR,2018-02-21,5360000000.0
PWR,2018-05-02,4910000000.0
PWR,2018-08-03,5200000000.0
PWR,2018-11-01,4880000000.0
PWR,2019-02-21,5110000000.0
PWR,2019-05-01,5740000000.0
PWR,2019-07-30,5410000000.0
PWR,2010-09-30,241500000.0
PWR,2019-10-29,5950000000.0
PWR,2020-02-25,5410000000.0
PWR,2020-05-05,4810000000.0
PWR,2020-08-04,5730000000.0
PWR,2020-10-27,8439999999.999999
PWR,2021-02-23,10820000000.0
PWR,2021-05-04,13610000000.0
PWR,2021-08-03,12690000000.0
PWR,2021-11-02,17200000000.0
PWR,2022-02-22,14380000000.0
PWR,2022-05-02,16700000000.0
PWR,2022-08-02,19780000000.0
PWR,2022-11-01,20330000000.0
PWR,2023-02-21,21410000000.0
PWR,2023-05-02,24410000000.0
PWR,2023-07-28,29110000000.0
PWR,2023-10-27,23950000000.0
PWR,2024-02-19,30820000000.0
PWR,2024-04-29,38400000000.0
PWR,2024-07-29,37750000000.0
PWR,2024-10-28,46260000000.0
