Company,Date,Market Cap
RCL,2010-02-12,5480000000.0
RCL,2010-04-23,7790000000.0
RCL,2010-07-16,5030000000.0
RCL,2010-10-18,7530000000.0
RCL,2011-02-14,10210000000.0
RCL,2011-04-18,8090000000.0
RCL,2011-07-18,7470000000.0
RCL,2011-10-17,5510000000.0
RCL,2012-02-13,6670000000.0
RCL,2012-04-13,5950000000.0
RCL,2012-07-18,5370000000.0
RCL,2012-10-17,7040000000.0
RCL,2013-02-13,7800000000.0
RCL,2013-04-17,7360000000.0
RCL,2013-07-17,8090000000.0
RCL,2013-10-17,8529999999.999999
RCL,2014-02-13,11550000000.0
RCL,2014-04-17,11400000000.0
RCL,2014-07-17,11990000000.0
RCL,2014-10-16,12550000000.0
RCL,2015-02-12,16860000000.0
RCL,2015-04-16,17660000000.0
RCL,2015-07-24,17750000000.0
RCL,2015-10-06,19870000000.0
RCL,2016-02-12,14950000000.0
RCL,2016-04-22,15880000000.0
RCL,2016-07-26,15720000000.0
RCL,2016-10-20,15120000000.0
RCL,2017-02-09,20490000000.0
RCL,2017-04-20,20910000000.0
RCL,2017-07-27,24370000000.0
RCL,2017-10-30,26120000000.0
RCL,2018-02-12,27630000000.0
RCL,2018-04-19,24980000000.0
RCL,2018-07-26,23310000000.0
RCL,2018-10-18,24380000000.0
RCL,2019-02-14,24520000000.0
RCL,2019-04-24,25470000000.0
RCL,2019-07-18,23260000000.0
RCL,2019-10-23,22990000000.0
RCL,2020-02-21,22180000000.0
RCL,2020-05-13,7230000000.0
RCL,2020-07-31,10460000000.0
RCL,2020-10-30,12660000000.0
RCL,2021-02-22,20480000000.0
RCL,2021-04-26,22130000000.0
RCL,2021-07-30,19580000000.0
RCL,2021-10-27,21270000000.0
RCL,2022-02-24,20750000000.0
RCL,2022-05-02,19980000000.0
RCL,2022-07-26,8449999999.999999
RCL,2022-10-31,13620000000.0
RCL,2023-02-20,18650000000.0
RCL,2023-05-01,17129999999.999998
RCL,2023-07-24,26370000000.0
RCL,2023-10-23,20830000000.0
RCL,2024-02-16,29790000000.0
RCL,2024-04-22,33970000000.0
RCL,2024-07-22,43380000000.0
RCL,2024-10-25,54020000000.0
