Company,Date,Market Cap
REGN,2010-02-12,2330000000.0
REGN,2010-04-14,2100000000.0
REGN,2010-07-15,1860000000.0
REGN,2010-10-15,2250000000.0
REGN,2011-02-11,3100000000.0
REGN,2011-04-13,3970000000.0
REGN,2011-07-15,4980000000.0
REGN,2011-10-19,5440000000.0
REGN,2012-02-10,9370000000.0
REGN,2012-04-11,11300000000.0
REGN,2012-07-13,11050000000.0
REGN,2012-10-12,14240000000.0
REGN,2013-02-07,15640000000.0
REGN,2013-04-17,20440000000.0
REGN,2013-07-17,26070000000.0
REGN,2013-10-28,29510000000.0
REGN,2014-02-06,28100000000.0
REGN,2014-04-17,29340000000.0
REGN,2014-07-17,29370000000.0
REGN,2014-10-16,33970000000.0
REGN,2015-02-05,41650000000.0
REGN,2015-04-16,46340000000.0
REGN,2015-07-17,56160000000.0
REGN,2015-10-16,52570000000.0
REGN,2016-02-04,42440000000.0
REGN,2016-04-14,41970000000.0
REGN,2016-07-14,37760000000.0
REGN,2016-10-20,38450000000.0
REGN,2017-02-01,37940000000.0
REGN,2017-04-13,38660000000.0
REGN,2017-07-20,54840000000.0
REGN,2017-10-20,45690000000.0
REGN,2018-02-01,36580000000.0
REGN,2018-04-12,34440000000.0
REGN,2018-07-20,38970000000.0
REGN,2018-10-19,41450000000.0
REGN,2019-01-31,46090000000.0
REGN,2019-04-17,36950000000.0
REGN,2019-07-22,32020000000.000004
REGN,2019-08-01,58040000000.0
REGN,2019-10-24,33009999999.999996
REGN,2020-01-31,36560000000.0
REGN,2020-04-14,58090000000.0
REGN,2020-07-23,65890000000.0
REGN,2020-10-23,60800000000.0
REGN,2021-01-29,53050000000.0
REGN,2021-04-13,49940000000.0
REGN,2021-07-23,61630000000.0
REGN,2022-01-27,64959999999.99999
REGN,2022-04-12,77330000000.0
REGN,2022-07-25,62950000000.0
REGN,2022-10-24,78940000000.0
REGN,2023-01-26,79800000000.0
REGN,2023-04-11,88430000000.0
REGN,2023-07-27,79490000000.0
REGN,2023-10-26,84850000000.0
REGN,2024-04-16,96900000000.0
REGN,2024-07-25,115380000000.0
REGN,2024-10-23,101740000000.0
REGN,2025-01-23,74680000000.0
