Company,Date,Market Cap
RJF,2010-02-04,3160000000.0
RJF,2010-05-03,3840000000.0
RJF,2010-08-03,3350000000.0
RJF,2010-11-22,3660000000.0
RJF,2011-02-04,4670000000.0
RJF,2011-05-04,4630000000.0
RJF,2011-08-04,3740000000.0
RJF,2011-11-21,3500000000.0
RJF,2012-02-03,4530000000.0
RJF,2012-05-04,5000000000.0
RJF,2012-08-03,4640000000.0
RJF,2012-11-19,5200000000.0
RJF,2013-02-04,6250000000.0
RJF,2013-05-06,5890000000.0
RJF,2013-08-05,6260000000.0
RJF,2013-11-22,6760000000.0
RJF,2014-02-03,6810000000.0
RJF,2014-05-05,7020000000.0
RJF,2014-08-04,7150000000.0
RJF,2014-11-21,7950000000.0
RJF,2015-02-02,7600000000.0
RJF,2015-05-04,8289999999.999999
RJF,2015-08-03,8490000000.0
RJF,2015-11-20,8240000000.0
RJF,2016-01-15,6810000000.0
RJF,2016-05-04,7220000000.0
RJF,2016-08-04,7700000000.0
RJF,2016-11-18,10400000000.0
RJF,2017-02-03,10970000000.0
RJF,2017-05-08,10890000000.0
RJF,2017-08-04,11950000000.0
RJF,2017-11-16,12030000000.0
RJF,2018-02-07,13260000000.0
RJF,2018-05-07,13300000000.0
RJF,2018-08-06,13370000000.0
RJF,2018-11-19,11160000000.0
RJF,2019-02-07,11380000000.0
RJF,2019-05-08,12370000000.0
RJF,2019-08-07,10550000000.0
RJF,2019-11-25,12420000000.0
RJF,2020-02-06,13150000000.0
RJF,2020-05-05,8600000000.0
RJF,2020-08-06,9870000000.0
RJF,2020-11-19,12210000000.0
RJF,2021-02-03,14530000000.0
RJF,2021-05-04,18210000000.0
RJF,2021-08-04,17620000000.0
RJF,2021-09-22,17890000000.0
RJF,2021-11-18,20180000000.0
RJF,2022-02-03,22430000000.0
RJF,2022-05-05,20670000000.0
RJF,2022-08-04,21650000000.0
RJF,2022-11-17,25710000000.0
RJF,2023-02-01,24140000000.0
RJF,2023-05-04,17690000000.0
RJF,2023-08-02,22670000000.0
RJF,2023-11-17,21760000000.0
RJF,2024-02-05,23500000000.0
RJF,2024-05-03,25790000000.0
RJF,2024-08-02,22450000000.0
RJF,2024-11-22,33700000000.000004
