Company,Date,Market Cap
RMD,2010-01-27,3960000000.0
RMD,2010-04-27,4620000000.0
RMD,2010-08-04,5120000000.0
RMD,2010-08-31,4560000000.0
RMD,2010-10-22,4780000000.0
RMD,2011-01-25,4890000000.0
RMD,2011-04-25,5070000000.0
RMD,2011-08-04,4260000000.0
RMD,2011-10-25,4550000000.0
RMD,2012-01-25,3950000000.0
RMD,2012-04-25,4530000000.0
RMD,2012-08-06,5010000000.0
RMD,2012-10-24,5990000000.0
RMD,2013-01-23,6480000000.0
RMD,2013-04-25,6490000000.0
RMD,2013-08-05,6700000000.0
RMD,2013-10-24,8000000000.0
RMD,2014-01-22,6590000000.0
RMD,2014-04-21,6650000000.0
RMD,2014-08-01,6960000000.0
RMD,2014-10-21,6700000000.0
RMD,2015-01-21,8449999999.999999
RMD,2015-04-20,10280000000.0
RMD,2015-07-28,7970000000.0
RMD,2015-10-20,7880000000.0
RMD,2016-01-20,7530000000.0
RMD,2016-04-20,8430000000.0
RMD,2016-07-28,9240000000.0
RMD,2016-10-20,8960000000.0
RMD,2017-01-18,8970000000.0
RMD,2017-04-20,9870000000.0
RMD,2017-07-28,11010000000.0
RMD,2017-10-21,11210000000.0
RMD,2018-01-17,12680000000.0
RMD,2018-04-22,14100000000.0
RMD,2018-08-09,15420000000.0
RMD,2018-10-22,14620000000.0
RMD,2019-01-28,13120000000.0
RMD,2019-04-29,14780000000.0
RMD,2019-07-29,18590000000.0
RMD,2012-05-07,401350000.0
RMD,2019-10-21,18770000000.0
RMD,2020-01-27,23230000000.0
RMD,2020-04-27,23550000000.0
RMD,2020-08-07,25100000000.0
RMD,2020-10-26,26160000000.0
RMD,2021-01-25,32259999999.999996
RMD,2021-04-26,30690000000.0
RMD,2021-08-12,40090000000.0
RMD,2021-10-25,39050000000.0
RMD,2022-01-24,34880000000.0
RMD,2022-04-25,33049999999.999996
RMD,2022-08-08,34650000000.0
RMD,2022-10-24,33049999999.999996
RMD,2023-01-23,34750000000.0
RMD,2023-04-24,33720000000.0
RMD,2023-08-07,27450000000.0
RMD,2023-10-23,21570000000.0
RMD,2024-01-22,26010000000.0
RMD,2024-04-22,26490000000.0
RMD,2024-08-05,31690000000.0
RMD,2024-10-21,35240000000.0
RMD,2025-01-27,37410000000.0
