Company,Date,Market Cap
ROL,2010-01-29,1960000000.0
ROL,2010-04-15,2220000000.0
ROL,2010-07-15,2120000000.0
ROL,2010-10-15,2400000000.0
ROL,2010-12-13,2850000000.0
ROL,2011-01-31,2800000000.0
ROL,2011-04-15,2960000000.0
ROL,2011-07-15,3050000000.0
ROL,2011-10-15,3010000000.0
ROL,2012-01-31,3140000000.0
ROL,2012-04-15,3000000000.0
ROL,2012-07-15,3360000000.0
ROL,2012-10-15,3360000000.0
ROL,2013-01-31,3620000000.0
ROL,2013-04-15,3320000000.0
ROL,2013-07-15,3970000000.0
ROL,2013-10-15,3950000000.0
ROL,2014-01-31,4210000000.0
ROL,2014-04-15,4310000000.0
ROL,2014-07-15,4269999999.9999995
ROL,2014-10-15,4099999999.9999995
ROL,2015-01-31,4820000000.0
ROL,2015-03-11,4910000000.0
ROL,2015-04-15,5410000000.0
ROL,2015-07-15,6140000000.0
ROL,2015-10-15,6000000000.0
ROL,2016-01-31,6030000000.0
ROL,2016-04-15,5920000000.0
ROL,2016-07-15,6350000000.0
ROL,2016-10-15,6140000000.0
ROL,2017-01-31,7690000000.0
ROL,2017-04-15,7890000000.0
ROL,2017-07-14,8890000000.0
ROL,2017-10-16,10390000000.0
ROL,2018-01-31,10770000000.0
ROL,2018-04-16,11490000000.0
ROL,2018-07-16,12010000000.0
ROL,2018-10-16,12560000000.0
ROL,2018-12-11,12510000000.0
ROL,2019-01-31,12200000000.0
ROL,2019-04-16,14130000000.0
ROL,2019-07-16,12370000000.0
ROL,2019-10-16,11590000000.0
ROL,2020-01-31,12440000000.0
ROL,2020-04-17,12770000000.0
ROL,2020-07-16,15400000000.0
ROL,2020-10-16,19590000000.0
ROL,2020-12-11,18030000000.0
ROL,2021-01-31,17730000000.0
ROL,2021-04-16,17360000000.0
ROL,2021-07-16,17700000000.0
ROL,2021-10-15,18350000000.0
ROL,2022-01-31,15180000000.0
ROL,2022-04-15,17190000000.0
ROL,2022-07-15,17530000000.0
ROL,2022-10-17,17800000000.0
ROL,2023-01-31,17920000000.0
ROL,2023-04-17,19200000000.0
ROL,2023-07-17,21970000000.0
ROL,2023-10-16,17640000000.0
ROL,2024-01-31,20960000000.0
ROL,2024-04-15,20960000000.0
ROL,2024-07-15,23400000000.0
ROL,2024-10-14,24290000000.0
